0,1,2,3,4,5,6
,Present SV,Past SV,Present VS,Past VS,Subjunctive SV,Subjunctive VS
First person singular,ich éstós,ich éstósdje,éstós ich,éstósdje-n ich,ich éstósse,éstósse-n ich
Second person singular,doe éstós,doe éstósdjes,éstós se,éstósdjes se,doe éstósse,éstósser-doe
Third person singular,dae éstós,dae éstósdje,éstós t'r,éstósdje d'r,dae éstósse,éstósser-dae
First person plural,weer éstósse,weer éstósdje,éstóstj v'r,éstósdje v'r,weer éstósse,éstósse v'r
Second person plural,geer éstós(tj),geer éstósdje,éstós(tj) g'r,éstósdje g'r,geer éstósse,éstóssetj g'r
Third person plural,die éstósse,die éstósdje,éstósse die,éstósdje die,die éstósse,éstósser-die
Other:,Infinitive,Gerund,Present particle,Past particle,Adjective,Adverb
Conjugation:,(tö) éstósse,'t éstósse n,éstóssendj,höbbe geéstós,geéstós(dje/dje-n/djer/djes),geéstós(djelik)
Other:,Noun,Imperative singular impolite,Imperative singular polite,Imperative dual,Imperative plural,Ènkelzief
Conjugation:,'t geéstós n,éstós!,éstós(tj)!,éstóssetj!,éstóstj!,éstóssem
