0,1,2,3,4,5,6,7,8,9,10,11
Picture dictionary,,,,,,,,,,,
,,,,,,,,,,,
Karpfen  Aal  Goldfisch  Hering  Makrele  Lachs  Sardine  Hai  Forelle  Thunfisch,Karpfen  Aal  Goldfisch  Hering  Makrele  Lachs  Sardine  Hai  Forelle  Thunfisch,Karpfen,Aal,Goldfisch,Hering,Makrele,Lachs,Sardine,Hai,Forelle,Thunfisch
Karpfen  Aal  Goldfisch  Hering  Makrele  Lachs  Sardine  Hai  Forelle  Thunfisch,Karpfen,Aal,Goldfisch,Hering,Makrele,Lachs,Sardine,Hai,Forelle,Thunfisch,
Karpfen,,,,,,,,,,,
Aal,,,,,,,,,,,
Goldfisch,,,,,,,,,,,
Hering,,,,,,,,,,,
Makrele,,,,,,,,,,,
Lachs,,,,,,,,,,,
Sardine,,,,,,,,,,,
Hai,,,,,,,,,,,
Forelle,,,,,,,,,,,
Thunfisch,,,,,,,,,,,
Karpfen  Aal  Goldfisch  Hering  Makrele  Lachs  Sardine  Hai  Forelle  Thunfisch,Karpfen,Aal,Goldfisch,Hering,Makrele,Lachs,Sardine,Hai,Forelle,Thunfisch,
Karpfen,,,,,,,,,,,
Aal,,,,,,,,,,,
Goldfisch,,,,,,,,,,,
Hering,,,,,,,,,,,
Makrele,,,,,,,,,,,
Lachs,,,,,,,,,,,
Sardine,,,,,,,,,,,
Hai,,,,,,,,,,,
Forelle,,,,,,,,,,,
Thunfisch,,,,,,,,,,,
Karpfen,,,,,,,,,,,
Aal,,,,,,,,,,,
Goldfisch,,,,,,,,,,,
Hering,,,,,,,,,,,
Makrele,,,,,,,,,,,
Lachs,,,,,,,,,,,
Sardine,,,,,,,,,,,
Hai,,,,,,,,,,,
Forelle,,,,,,,,,,,
Thunfisch,,,,,,,,,,,
audio,,(file),,,,,,,,,
,singular,plural,,,,,,,,,
,indef.,def.,noun,def.,noun,,,,,,
nominative,ein,der,Fisch,die,Fische,,,,,,
genitive,eines,des,"Fisches,Fischs",der,Fische,,,,,,
dative,einem,dem,"Fisch,Fische1",den,Fischen,,,,,,
accusative,einen,den,Fisch,die,Fische,,,,,,
Anemonenfisch  Clownfisch  Doktorfisch  Fischbecken  fischen  Fischerei  Fischer,,Fischfang  fischig  Fischstäbchen  Fischsuppe  Fischtreppe  Fischvergiftung  Haifisch,,Knochenfisch  Knorpelfisch  Schwertfisch  Silberfischchen  Tintenfisch  Walfisch  weder Fisch noch Fleisch,,,,,,,
