0,1,2,3,4,5,6,7,8,9
Picture dictionary,,,,,,,,,
,,,,,,,,,
Planet  Stern  Mond  Asteroid  Komet  Nebel  Galaxie  Schwarzes Loch,Planet  Stern  Mond  Asteroid  Komet  Nebel  Galaxie  Schwarzes Loch,Planet,Stern,Mond,Asteroid,Komet,Nebel,Galaxie,Schwarzes Loch
Planet  Stern  Mond  Asteroid  Komet  Nebel  Galaxie  Schwarzes Loch,Planet,Stern,Mond,Asteroid,Komet,Nebel,Galaxie,Schwarzes Loch,
Planet,,,,,,,,,
Stern,,,,,,,,,
Mond,,,,,,,,,
Asteroid,,,,,,,,,
Komet,,,,,,,,,
Nebel,,,,,,,,,
Galaxie,,,,,,,,,
Schwarzes Loch,,,,,,,,,
Planet  Stern  Mond  Asteroid  Komet  Nebel  Galaxie  Schwarzes Loch,Planet,Stern,Mond,Asteroid,Komet,Nebel,Galaxie,Schwarzes Loch,
Planet,,,,,,,,,
Stern,,,,,,,,,
Mond,,,,,,,,,
Asteroid,,,,,,,,,
Komet,,,,,,,,,
Nebel,,,,,,,,,
Galaxie,,,,,,,,,
Schwarzes Loch,,,,,,,,,
Planet,,,,,,,,,
Stern,,,,,,,,,
Mond,,,,,,,,,
Asteroid,,,,,,,,,
Komet,,,,,,,,,
Nebel,,,,,,,,,
Galaxie,,,,,,,,,
Schwarzes Loch,,,,,,,,,
Audio,,(file),,,,,,,
,singular,plural,,,,,,,
,indef.,def.,noun,def.,noun,,,,
nominative,ein,der,Himmelskörper,die,Himmelskörper,,,,
genitive,eines,des,Himmelskörpers,der,Himmelskörper,,,,
dative,einem,dem,Himmelskörper,den,Himmelskörpern,,,,
accusative,einen,den,Himmelskörper,die,Himmelskörper,,,,
