0,1,2,3,4,5,6,7,8,9,10
number & gender,singular,plural,,,,,,,,
masculine,feminine,neuter,all genders,,,,,,,
predicative,er ist null,sie ist null,es ist null,sie sind null,,,,,,
strong declension (without article),nominative,nuller,nulle,nulles,nulle,,,,,
genitive,nullen,nuller,nullen,nuller,,,,,,
dative,nullem,nuller,nullem,nullen,,,,,,
accusative,nullen,nulle,nulles,nulle,,,,,,
weak declension (with definite article),nominative,der nulle,die nulle,das nulle,die nullen,,,,,
genitive,des nullen,der nullen,des nullen,der nullen,,,,,,
dative,dem nullen,der nullen,dem nullen,den nullen,,,,,,
accusative,den nullen,die nulle,das nulle,die nullen,,,,,,
mixed declension (with indefinite article),nominative,ein nuller,eine nulle,ein nulles,(keine) nullen,,,,,
genitive,eines nullen,einer nullen,eines nullen,(keiner) nullen,,,,,,
dative,einem nullen,einer nullen,einem nullen,(keinen) nullen,,,,,,
accusative,einen nullen,eine nulle,ein nulles,(keine) nullen,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,null,eins,zwei,drei,vier,fünf,sechs,sieben,acht,neun
1—,zehn,elf,zwölf,dreizehn,vierzehn,fünfzehn(fuffzehn),sechzehn,siebzehn(siebenzehn),achtzehn,neunzehn
2—,zwanzig,einundzwanzig,zweiundzwanzig,dreiundzwanzig,vierundzwanzig,fünfundzwanzig,sechsundzwanzig,siebenundzwanzig,achtundzwanzig,neunundzwanzig
3—,dreißig,einunddreißig,zweiunddreißig,dreiunddreißig,vierunddreißig,fünfunddreißig,sechsunddreißig,siebenunddreißig,achtunddreißig,neununddreißig
4—,vierzig,einundvierzig,zweiundvierzig,dreiundvierzig,vierundvierzig,fünfundvierzig,sechsundvierzig,siebenundvierzig,achtundvierzig,neunundvierzig
5—,fünfzig(fuffzig),einundfünfzig,zweiundfünfzig,dreiundfünfzig,vierundfünfzig,fünfundfünfzig,sechsundfünfzig,siebenundfünfzig,achtundfünfzig,neunundfünfzig
6—,sechzig,einundsechzig,zweiundsechzig,dreiundsechzig,vierundsechzig,fünfundsechzig,sechsundsechzig,siebenundsechzig,achtundsechzig,neunundsechzig
7—,siebzig(siebenzig),einundsiebzig,zweiundsiebzig,dreiundsiebzig,vierundsiebzig,fünfundsiebzig,sechsundsiebzig,siebenundsiebzig,achtundsiebzig,neunundsiebzig
8—,achtzig,einundachtzig,zweiundachtzig,dreiundachtzig,vierundachtzig,fünfundachtzig,sechsundachtzig,siebenundachtzig,achtundachtzig,neunundachtzig
9—,neunzig,einundneunzig,zweiundneunzig,dreiundneunzig,vierundneunzig,fünfundneunzig,sechsundneunzig,siebenundneunzig,achtundneunzig,neunundneunzig
