0,1,2,3,4,5
audio (Germany),,(file),,,
audio (Austria),,(file),,,
infinitive,wandern,,,,
present participle,wandernd,,,,
past participle,gewandert,,,,
auxiliary,sein,,,,
,indicative,,subjunctive,,
present,ich wandreich wandereich wander,wir wandern,i,ich wandereich wandre,wir wandern
du wanderst,ihr wandert,du wanderestdu wandrest,ihr wanderetihr wandret,,
er wandert,sie wandern,er wandereer wandre,sie wandern,,
,,,,,
preterite,ich wanderte,wir wanderten,ii,ich wanderte,wir wanderten
du wandertest,ihr wandertet,du wandertest,ihr wandertet,,
er wanderte,sie wanderten,er wanderte,sie wanderten,,
,,,,,
imperative,wandre (du)wandere (du)wander (du),wandert (ihr),,,
perfect,,,,,
indicative,ich bin gewandert,wir sind gewandert,subjunctive,ich sei gewandert,wir seien gewandert
du bist gewandert,ihr seid gewandert,du seist gewandert,ihr seiet gewandert,,
er ist gewandert,sie sind gewandert,er sei gewandert,sie seien gewandert,,
pluperfect,,,,,
indicative,ich war gewandert,wir waren gewandert,subjunctive,ich wäre gewandert,wir wären gewandert
du warst gewandert,ihr wart gewandert,du wärst gewandert,ihr wärt gewandert,,
er war gewandert,sie waren gewandert,er wäre gewandert,sie wären gewandert,,
future i,,,,,
infinitive,wandern werden,subjunctive i,ich werde wandern,wir werden wandern,
du werdest wandern,ihr werdet wandern,,,,
er werde wandern,sie werden wandern,,,,
,,,,,
indicative,ich werde wandern,wir werden wandern,subjunctive ii,ich würde wandern,wir würden wandern
du wirst wandern,ihr werdet wandern,du würdest wandern,ihr würdet wandern,,
er wird wandern,sie werden wandern,er würde wandern,sie würden wandern,,
future ii,,,,,
infinitive,gewandert sein werden,subjunctive i,ich werde gewandert sein,wir werden gewandert sein,
du werdest gewandert sein,ihr werdet gewandert sein,,,,
er werde gewandert sein,sie werden gewandert sein,,,,
,,,,,
indicative,ich werde gewandert sein,wir werden gewandert sein,subjunctive ii,ich würde gewandert sein,wir würden gewandert sein
du wirst gewandert sein,ihr werdet gewandert sein,du würdest gewandert sein,ihr würdet gewandert sein,,
er wird gewandert sein,sie werden gewandert sein,er würde gewandert sein,sie würden gewandert sein,,
infinitive,wandern,,,,
present participle,wandernd,,,,
past participle,gewandert,,,,
auxiliary,haben,,,,
,indicative,,subjunctive,,
present,ich wandreich wandereich wander,wir wandern,i,ich wandereich wandre,wir wandern
du wanderst,ihr wandert,du wanderestdu wandrest,ihr wanderetihr wandret,,
er wandert,sie wandern,er wandereer wandre,sie wandern,,
,,,,,
preterite,ich wanderte,wir wanderten,ii,ich wanderte,wir wanderten
du wandertest,ihr wandertet,du wandertest,ihr wandertet,,
er wanderte,sie wanderten,er wanderte,sie wanderten,,
,,,,,
imperative,wandre (du)wandere (du)wander (du),wandert (ihr),,,
perfect,,,,,
indicative,ich habe gewandert,wir haben gewandert,subjunctive,ich habe gewandert,wir haben gewandert
du hast gewandert,ihr habt gewandert,du habest gewandert,ihr habet gewandert,,
er hat gewandert,sie haben gewandert,er habe gewandert,sie haben gewandert,,
pluperfect,,,,,
indicative,ich hatte gewandert,wir hatten gewandert,subjunctive,ich hätte gewandert,wir hätten gewandert
du hattest gewandert,ihr hattet gewandert,du hättest gewandert,ihr hättet gewandert,,
er hatte gewandert,sie hatten gewandert,er hätte gewandert,sie hätten gewandert,,
future i,,,,,
infinitive,wandern werden,subjunctive i,ich werde wandern,wir werden wandern,
du werdest wandern,ihr werdet wandern,,,,
er werde wandern,sie werden wandern,,,,
,,,,,
indicative,ich werde wandern,wir werden wandern,subjunctive ii,ich würde wandern,wir würden wandern
du wirst wandern,ihr werdet wandern,du würdest wandern,ihr würdet wandern,,
er wird wandern,sie werden wandern,er würde wandern,sie würden wandern,,
future ii,,,,,
infinitive,gewandert haben werden,subjunctive i,ich werde gewandert haben,wir werden gewandert haben,
du werdest gewandert haben,ihr werdet gewandert haben,,,,
er werde gewandert haben,sie werden gewandert haben,,,,
,,,,,
indicative,ich werde gewandert haben,wir werden gewandert haben,subjunctive ii,ich würde gewandert haben,wir würden gewandert haben
du wirst gewandert haben,ihr werdet gewandert haben,du würdest gewandert haben,ihr würdet gewandert haben,,
er wird gewandert haben,sie werden gewandert haben,er würde gewandert haben,sie würden gewandert haben,,
abwandern  auswandern  bewandert  durchwandern  einwandern  umherwandern  unterwandern  zuwandern  Wanderarbeiter  Wanderausflug  Wanderausstellung  Wanderbursche  Wanderdrossel  Wanderer  Wanderfalke,,Wanderfalter  Wanderfisch  Wandergeselle  Wanderhackbau  Wanderheuschrecke  Wandern  Wanderniere  Wanderpokal  Wanderprediger  Wanderratte  Wanderschaft  Wanderschuh  Wandersfrau  Wandersmann  Wandersport  Wanderstab,,Wanderstiefel  Wanderstock  Wandertag  Wandertaube  Wanderung  Wanderverein  Wandervogel  Wanderwart  Wanderzirkus,
