0,1,2
,singular,plural
nominative,brasilpuu,brasilpuud
accusative,brasilpuu,brasilpuud
genitive,brasilpuu,brasilpuude
partitive,brasilpuud,brasilpuidbrasilpuusid
illative,brasilpuusse,brasilpuudessebrasilpuisse
inessive,brasilpuus,brasilpuudesbrasilpuis
elative,brasilpuust,brasilpuudestbrasilpuist
allative,brasilpuule,brasilpuudelebrasilpuile
adessive,brasilpuul,brasilpuudelbrasilpuil
ablative,brasilpuult,brasilpuudeltbrasilpuilt
translative,brasilpuuks,brasilpuudeksbrasilpuiks
terminative,brasilpuuni,brasilpuudeni
essive,brasilpuuna,brasilpuudena
abessive,brasilpuuta,brasilpuudeta
comitative,brasilpuuga,brasilpuudega
