0,1,2,3,4,5
2nd sing.,V;ACT;PRS;POS;POT;2;SG,V;ACT;PRS;NEG;POT;2;SG,2nd sing.,V;ACT;PRS;PRF;POS;POT;2;SG,V;ACT;PRS;PRF;NEG;POT;2;SG
3rd sing.,V;ACT;PRS;POS;POT;3;SG,V;ACT;PRS;NEG;POT;3;SG,3rd sing.,V;ACT;PRS;PRF;POS;POT;3;SG,V;ACT;PRS;PRF;NEG;POT;3;SG
1st plur.,V;ACT;PRS;POS;POT;1;PL,V;ACT;PRS;NEG;POT;1;PL,1st plur.,V;ACT;PRS;PRF;POS;POT;1;PL,V;ACT;PRS;PRF;NEG;POT;1;PL
2nd plur.,V;ACT;PRS;POS;POT;2;PL,V;ACT;PRS;NEG;POT;2;PL,2nd plur.,V;ACT;PRS;PRF;POS;POT;2;PL,V;ACT;PRS;PRF;NEG;POT;2;PL
3rd plur.,V;ACT;PRS;POS;POT;3;PL,V;ACT;PRS;NEG;POT;3;PL,3rd plur.,V;ACT;PRS;PRF;POS;POT;3;PL,V;ACT;PRS;PRF;NEG;POT;3;PL
passive,V;PASS;PRS;POS;POT,V;PASS;PRS;NEG;POT,passive,V;PASS;PRS;PRF;POS;POT,V;PASS;PRS;PRF;NEG;POT
Nominal forms,,,,,
infinitives,participles,,,,
,active,passive,,active,passive
1st,V;NFIN,present,V.PTCP;ACT;PRS,V.PTCP;PASS;PRS,
long 1st2,gratinoidakseen,past,V.PTCP;ACT;PST,V.PTCP;PASS;PST,
2nd,inessive1,gratinoidessa,gratinoitaessa,"agent1, 3",gratinoima
instructive,gratinoiden,—,negative,gratinoimaton,
3rd,inessive,gratinoimassa,—,1) Usually with a possessive suffix. 2) Used only with a possessive suffix; this is the form for the third-person singular and third-person plural. 3) Does not exist in the case of intransitive verbs. Do not confuse with nouns formed with the -ma suffix.,
elative,gratinoimasta,—,,,
illative,gratinoimaan,—,,,
adessive,gratinoimalla,—,,,
abessive,gratinoimatta,—,,,
instructive,gratinoiman,gratinoitaman,,,
4th,nominative,gratinoiminen,,,
partitive,gratinoimista,,,,
5th2,gratinoimaisillaan,,,,
