0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Declension of vanha kunnon (irregular)  singular  plural  nominative  vanha kunnon  vanhat kunnon  genitive  vanhan kunnon  vanhojen kunnonvanhain kunnon  partitive  vanhaa kunnon  vanhoja kunnon  accusative  vanha kunnonvanhan kunnon  vanhat kunnon  inessive  vanhassa kunnon  vanhoissa kunnon  elative  vanhasta kunnon  vanhoista kunnon  illative  vanhaan kunnon  vanhoihin kunnon  adessive  vanhalla kunnon  vanhoilla kunnon  ablative  vanhalta kunnon  vanhoilta kunnon  allative  vanhalle kunnon  vanhoille kunnon  essive  vanhana kunnon  vanhoina kunnon  translative  vanhaksi kunnon  vanhoiksi kunnon  instructive  –  vanhoin kunnon  abessive  –  –  comitative  –  vanhoine kunnon,,singular,plural,nominative,vanha kunnon,vanhat kunnon,genitive,vanhan kunnon,vanhojen kunnonvanhain kunnon,partitive,vanhaa kunnon,vanhoja kunnon,accusative,vanha kunnonvanhan kunnon,vanhat kunnon,inessive,vanhassa kunnon,vanhoissa kunnon,elative,vanhasta kunnon,vanhoista kunnon,illative,vanhaan kunnon,vanhoihin kunnon,adessive,vanhalla kunnon,vanhoilla kunnon,ablative,vanhalta kunnon,vanhoilta kunnon,allative,vanhalle kunnon,vanhoille kunnon,essive,vanhana kunnon,vanhoina kunnon,translative,vanhaksi kunnon,vanhoiksi kunnon,instructive,–,vanhoin kunnon,abessive,–,–,comitative,–,vanhoine kunnon
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,vanha kunnon,vanhat kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,vanhan kunnon,vanhojen kunnonvanhain kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,vanhaa kunnon,vanhoja kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,vanha kunnonvanhan kunnon,vanhat kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,vanhassa kunnon,vanhoissa kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,vanhasta kunnon,vanhoista kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,vanhaan kunnon,vanhoihin kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,vanhalla kunnon,vanhoilla kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,vanhalta kunnon,vanhoilta kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,vanhalle kunnon,vanhoille kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,vanhana kunnon,vanhoina kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,vanhaksi kunnon,vanhoiksi kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,vanhoin kunnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
