0,1,2,3
Audio,,(file),
imperfective aspect,,,
infinitive,дева́тьdevátʹ,,
participles,present tense,past tense,
active,дева́ющийdevájuščij,дева́вшийdevávšij,
passive,дева́емыйdevájemyj,—,
adverbial,дева́яdevája,"дева́вdeváv,дева́вшиdevávši",
,present tense,future tense,
1st singular (я),дева́юdeváju,бу́ду дева́тьbúdu devátʹ,
2nd singular (ты),дева́ешьdeváješʹ,бу́дешь дева́тьbúdešʹ devátʹ,
3rd singular (он/она́/оно́),дева́етdevájet,бу́дет дева́тьbúdet devátʹ,
1st plural (мы),дева́емdevájem,бу́дем дева́тьbúdem devátʹ,
2nd plural (вы),дева́етеdevájete,бу́дете дева́тьbúdete devátʹ,
3rd plural (они́),дева́ютdevájut,бу́дут дева́тьbúdut devátʹ,
imperative,singular,plural,
,дева́йdeváj,дева́йтеdevájte,
past tense,singular,plural(мы/вы/они́),
masculine (я/ты/он),дева́лdevál,дева́лиdeváli,
feminine (я/ты/она́),дева́лаdevála,,
neuter (оно́),дева́лоdeválo,,
imperfective  дева́ться ‎(devátʹsja)  вдевать ‎(vdevatʹ)  вздевать ‎(vzdevatʹ)  воздевать ‎(vozdevatʹ)  задева́ть ‎(zadevátʹ)  задеваться ‎(zadevatʹsja)  надева́ть ‎(nadevátʹ)  надеваться ‎(nadevatʹsja)  одева́ть ‎(odevátʹ)  одева́ться ‎(odevátʹsja)  продевать ‎(prodevatʹ)  продеваться ‎(prodevatʹsja)  поддевать ‎(poddevatʹ)  раздева́ть ‎(razdevátʹ)  раздева́ться ‎(razdevátʹsja) perfective  де́ться ‎(détʹsja)  вдеть ‎(vdetʹ)  вздеть ‎(vzdetʹ)  воздеть ‎(vozdetʹ)  заде́ть ‎(zadétʹ)  наде́ть ‎(nadétʹ)  надеться ‎(nadetʹsja)  оде́ть ‎(odétʹ)  оде́ться ‎(odétʹsja)  продеть ‎(prodetʹ)  поддеть ‎(poddetʹ)  разде́ть ‎(razdétʹ)  разде́ться ‎(razdétʹsja),imperfective  дева́ться ‎(devátʹsja)  вдевать ‎(vdevatʹ)  вздевать ‎(vzdevatʹ)  воздевать ‎(vozdevatʹ)  задева́ть ‎(zadevátʹ)  задеваться ‎(zadevatʹsja)  надева́ть ‎(nadevátʹ)  надеваться ‎(nadevatʹsja)  одева́ть ‎(odevátʹ)  одева́ться ‎(odevátʹsja)  продевать ‎(prodevatʹ)  продеваться ‎(prodevatʹsja)  поддевать ‎(poddevatʹ)  раздева́ть ‎(razdevátʹ)  раздева́ться ‎(razdevátʹsja),,perfective  де́ться ‎(détʹsja)  вдеть ‎(vdetʹ)  вздеть ‎(vzdetʹ)  воздеть ‎(vozdetʹ)  заде́ть ‎(zadétʹ)  наде́ть ‎(nadétʹ)  надеться ‎(nadetʹsja)  оде́ть ‎(odétʹ)  оде́ться ‎(odétʹsja)  продеть ‎(prodetʹ)  поддеть ‎(poddetʹ)  разде́ть ‎(razdétʹ)  разде́ться ‎(razdétʹsja)
imperfective  дева́ться ‎(devátʹsja)  вдевать ‎(vdevatʹ)  вздевать ‎(vzdevatʹ)  воздевать ‎(vozdevatʹ)  задева́ть ‎(zadevátʹ)  задеваться ‎(zadevatʹsja)  надева́ть ‎(nadevátʹ)  надеваться ‎(nadevatʹsja)  одева́ть ‎(odevátʹ)  одева́ться ‎(odevátʹsja)  продевать ‎(prodevatʹ)  продеваться ‎(prodevatʹsja)  поддевать ‎(poddevatʹ)  раздева́ть ‎(razdevátʹ)  раздева́ться ‎(razdevátʹsja),,perfective  де́ться ‎(détʹsja)  вдеть ‎(vdetʹ)  вздеть ‎(vzdetʹ)  воздеть ‎(vozdetʹ)  заде́ть ‎(zadétʹ)  наде́ть ‎(nadétʹ)  надеться ‎(nadetʹsja)  оде́ть ‎(odétʹ)  оде́ться ‎(odétʹsja)  продеть ‎(prodetʹ)  поддеть ‎(poddetʹ)  разде́ть ‎(razdétʹ)  разде́ться ‎(razdétʹsja),
imperfective  дева́ться ‎(devátʹsja)  вдевать ‎(vdevatʹ)  вздевать ‎(vzdevatʹ)  воздевать ‎(vozdevatʹ)  задева́ть ‎(zadevátʹ)  задеваться ‎(zadevatʹsja)  надева́ть ‎(nadevátʹ)  надеваться ‎(nadevatʹsja)  одева́ть ‎(odevátʹ)  одева́ться ‎(odevátʹsja)  продевать ‎(prodevatʹ)  продеваться ‎(prodevatʹsja)  поддевать ‎(poddevatʹ)  раздева́ть ‎(razdevátʹ)  раздева́ться ‎(razdevátʹsja),,perfective  де́ться ‎(détʹsja)  вдеть ‎(vdetʹ)  вздеть ‎(vzdetʹ)  воздеть ‎(vozdetʹ)  заде́ть ‎(zadétʹ)  наде́ть ‎(nadétʹ)  надеться ‎(nadetʹsja)  оде́ть ‎(odétʹ)  оде́ться ‎(odétʹsja)  продеть ‎(prodetʹ)  поддеть ‎(poddetʹ)  разде́ть ‎(razdétʹ)  разде́ться ‎(razdétʹsja),
