0,1,2,3,4
PIE root,,,,
*(s)keyd-,,,,
imperfective aspect,,,,
infinitive,цеди́тьcedítʹ,,,
participles,present tense,past tense,,
active,"цедя́щийcedjáščij,це́дящийcédjaščij",цеди́вшийcedívšij,,
passive,цеди́мыйcedímyj,це́женныйcéžennyj,,
adverbial,цедя́cedjá,"цеди́вcedív,цеди́вшиcedívši",,
,present tense,future tense,,
1st singular (я),цежу́cežú,бу́ду цеди́тьbúdu cedítʹ,,
2nd singular (ты),це́дишьcédišʹ,бу́дешь цеди́тьbúdešʹ cedítʹ,,
3rd singular (он/она́/оно́),це́дитcédit,бу́дет цеди́тьbúdet cedítʹ,,
1st plural (мы),це́димcédim,бу́дем цеди́тьbúdem cedítʹ,,
2nd plural (вы),це́дитеcédite,бу́дете цеди́тьbúdete cedítʹ,,
3rd plural (они́),це́дятcédjat,бу́дут цеди́тьbúdut cedítʹ,,
imperative,singular,plural,,
,цеди́cedí,цеди́теcedíte,,
past tense,singular,plural(мы/вы/они́),,
masculine (я/ты/он),цеди́лcedíl,цеди́лиcedíli,,
feminine (я/ты/она́),цеди́лаcedíla,,,
neuter (оно́),цеди́лоcedílo,,,
цеж ‎(cež)  цеже́ние ‎(cežénije)  цеди́льщик ‎(cedílʹščik)  цеди́льный ‎(cedílʹnyj)  цеди́ться ‎(cedítʹsja),,вы́цедить ‎(výceditʹ)  доцеди́ть ‎(docedítʹ)  зацеди́ть ‎(zacedítʹ)  нацеди́ть ‎(nacedítʹ)  отцеди́ть ‎(otcedítʹ),,перецеди́ть ‎(perecedítʹ)  поцеди́ть ‎(pocedítʹ)  процеди́ть ‎(procedítʹ)  сцеди́ть ‎(scedítʹ)
