0,1,2,3,4,5,6
Audio,,(file),,,,
imperfective aspect,,,,,,
infinitive,боле́тьbolétʹ,,,,,
participles,present tense,past tense,,,,
active,боле́ющийboléjuščij,боле́вшийbolévšij,,,,
passive,—,—,,,,
adverbial,боле́яboléja,"боле́вbolév,боле́вшиbolévši",,,,
,present tense,future tense,,,,
1st singular (я),боле́юboléju,бу́ду боле́тьbúdu bolétʹ,,,,
2nd singular (ты),боле́ешьboléješʹ,бу́дешь боле́тьbúdešʹ bolétʹ,,,,
3rd singular (он/она́/оно́),боле́етboléjet,бу́дет боле́тьbúdet bolétʹ,,,,
1st plural (мы),боле́емboléjem,бу́дем боле́тьbúdem bolétʹ,,,,
2nd plural (вы),боле́етеboléjete,бу́дете боле́тьbúdete bolétʹ,,,,
3rd plural (они́),боле́ютboléjut,бу́дут боле́тьbúdut bolétʹ,,,,
imperative,singular,plural,,,,
,боле́йboléj,боле́йтеboléjte,,,,
past tense,singular,plural(мы/вы/они́),,,,
masculine (я/ты/он),боле́лbolél,боле́лиboléli,,,,
feminine (я/ты/она́),боле́лаboléla,,,,,
neuter (оно́),боле́лоbolélo,,,,,
imperfective aspect,,,,,,
infinitive,боле́тьbolétʹ,,,,,
participles,present tense,past tense,,,,
active,боля́щийboljáščij,боле́вшийbolévšij,,,,
passive,—,—,,,,
adverbial,боля́boljá,"боле́вbolév,боле́вшиbolévši",,,,
,present tense,future tense,,,,
1st singular (я),болю́boljú,бу́ду боле́тьbúdu bolétʹ,,,,
2nd singular (ты),боли́шьbolíšʹ,бу́дешь боле́тьbúdešʹ bolétʹ,,,,
3rd singular (он/она́/оно́),боли́тbolít,бу́дет боле́тьbúdet bolétʹ,,,,
1st plural (мы),боли́мbolím,бу́дем боле́тьbúdem bolétʹ,,,,
2nd plural (вы),боли́теbolíte,бу́дете боле́тьbúdete bolétʹ,,,,
3rd plural (они́),боля́тbolját,бу́дут боле́тьbúdut bolétʹ,,,,
imperative,singular,plural,,,,
,боли́bolí,боли́теbolíte,,,,
past tense,singular,plural(мы/вы/они́),,,,
masculine (я/ты/он),боле́лbolél,боле́лиboléli,,,,
feminine (я/ты/она́),боле́лаboléla,,,,,
neuter (оно́),боле́лоbolélo,,,,,
Adjectives  больно́й ‎(bolʹnój)  болевóй ‎(bolevój),,Adverbs  бо́льно ‎(bólʹno),,Nouns  боле́знь f ‎(boléznʹ)  боле́льщик m ‎(bolélʹščik)  боль f ‎(bolʹ)  больни́ца f ‎(bolʹníca),,Verbs  заболева́ть impf ‎(zabolevátʹ)  заболе́ть pf ‎(zabolétʹ)
