0,1,2,3,4,5,6,7,8,9,10
,0.0,1  >,,,,,,,,
Cardinal : нуль ‎(nulʹ)     Ordinal : нулево́й ‎(nulevój),,,,,,,,,,
,,,,,,,,,,
Audio,,(file),,,,,,,,
,singular,plural,,,,,,,,
nominative,ну́льnúlʹ,нули́nulí,,,,,,,,
genitive,нуля́nuljá,нуле́йnuléj,,,,,,,,
dative,нулю́nuljú,нуля́мnuljám,,,,,,,,
accusative,ну́льnúlʹ,нули́nulí,,,,,,,,
instrumental,нулёмnuljóm,нуля́миnuljámi,,,,,,,,
prepositional,нуле́nulé,нуля́хnuljáx,,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,"ноль ‎(nolʹ), нуль ‎(nulʹ)",оди́н ‎(odín),два ‎(dva),три ‎(tri),четы́ре ‎(četýre),пять ‎(pjatʹ),шесть ‎(šestʹ),семь ‎(semʹ),во́семь ‎(vósemʹ),де́вять ‎(dévjatʹ)
1—,де́сять ‎(désjatʹ),оди́ннадцать ‎(odínnadcatʹ),двена́дцать ‎(dvenádcatʹ),трина́дцать ‎(trinádcatʹ),четы́рнадцать ‎(četýrnadcatʹ),пятна́дцать ‎(pjatnádcatʹ),шестна́дцать ‎(šestnádcatʹ),семна́дцать ‎(semnádcatʹ),восемна́дцать ‎(vosemnádcatʹ),девятна́дцать ‎(devjatnádcatʹ)
2—,два́дцать ‎(dvádcatʹ),два́дцать оди́н ‎(dvádcatʹ odín),два́дцать два ‎(dvádcatʹ dva),два́дцать три ‎(dvádcatʹ tri),два́дцать четы́ре ‎(dvádcatʹ četýre),два́дцать пять ‎(dvádcatʹ pjatʹ),два́дцать шесть ‎(dvádcatʹ šestʹ) ‎,два́дцать семь ‎(dvádcatʹ semʹ),два́дцать во́семь ‎(dvádcatʹ vósemʹ),два́дцать де́вять ‎(dvádcatʹ dévjatʹ)
3—,три́дцать ‎(trídcatʹ) ‎,три́дцать оди́н ‎(trídcatʹ odín),три́дцать два ‎(trídcatʹ dva),три́дцать три ‎(trídcatʹ tri) ‎,три́дцать четы́ре ‎(trídcatʹ četýre) ‎,три́дцать пять ‎(trídcatʹ pjatʹ)‎ ‎,три́дцать шесть ‎(trídcatʹ šestʹ) ‎,три́дцать семь ‎(trídcatʹ semʹ),три́дцать во́семь ‎(trídcatʹ vósemʹ) ‎,три́дцать де́вять ‎(trídcatʹ dévjatʹ)
4—,со́рок ‎(sórok) ‎,со́рок оди́н ‎(sórok odín) ‎,‎со́рок два ‎(sórok dva) ‎,со́рок три ‎(sórok tri) ‎,со́рок четы́ре ‎(sórok četýre) ‎,со́рок пять ‎(sórok pjatʹ) ‎,‎со́рок шесть ‎(sórok šestʹ) ‎,со́рок семь ‎(sórok semʹ) ‎,‎со́рок во́семь ‎(sórok vósemʹ) ‎,со́рок де́вять ‎(sórok dévjatʹ)
5—,пятьдеся́т ‎(pjatʹdesját) ‎,пятьдеся́т оди́н ‎(pjatʹdesját odín) ‎,‎пятьдеся́т два ‎(pjatʹdesját dva) ‎,пятьдеся́т три ‎(pjatʹdesját tri) ‎,пятьдеся́т четы́ре ‎(pjatʹdesját četýre) ‎,пятьдеся́т пять ‎(pjatʹdesját pjatʹ) ‎,‎пятьдеся́т шесть ‎(pjatʹdesját šestʹ) ‎,пятьдеся́т семь ‎(pjatʹdesját semʹ) ‎,‎пятьдеся́т во́семь ‎(pjatʹdesját vósemʹ) ‎,пятьдеся́т де́вять ‎(pjatʹdesját dévjatʹ)
6—,шестьдеся́т ‎(šestʹdesját),шестьдеся́т оди́н ‎(šestʹdesját odín),шестьдеся́т два ‎(šestʹdesját dva),шестьдеся́т три ‎(šestʹdesját tri),шестьдеся́т четы́ре ‎(šestʹdesját četýre),шестьдеся́т пять ‎(šestʹdesját pjatʹ),шестьдеся́т шесть ‎(šestʹdesját šestʹ),шестьдеся́т семь ‎(šestʹdesját semʹ),шестьдеся́т во́семь ‎(šestʹdesját vósemʹ),шестьдеся́т де́вять ‎(šestʹdesját dévjatʹ)
7—,се́мьдесят ‎(sémʹdesjat),се́мьдесят оди́н ‎(sémʹdesjat odín),се́мьдесят два ‎(sémʹdesjat dva),се́мьдесят три ‎(sémʹdesjat tri),се́мьдесят четы́ре ‎(sémʹdesjat četýre),се́мьдесят пять ‎(sémʹdesjat pjatʹ),се́мьдесят шесть ‎(sémʹdesjat šestʹ),се́мьдесят семь ‎(sémʹdesjat semʹ),се́мьдесят во́семь ‎(sémʹdesjat vósemʹ),се́мьдесят де́вять ‎(sémʹdesjat dévjatʹ)
8—,во́семьдесят ‎(vósemʹdesjat),во́семьдесят оди́н ‎(vósemʹdesjat odín),во́семьдесят два ‎(vósemʹdesjat dva),во́семьдесят три ‎(vósemʹdesjat tri),во́семьдесят четы́ре ‎(vósemʹdesjat četýre),во́семьдесят пять ‎(vósemʹdesjat pjatʹ),во́семьдесят шесть ‎(vósemʹdesjat šestʹ),во́семьдесят семь ‎(vósemʹdesjat semʹ),во́семьдесят во́семь ‎(vósemʹdesjat vósemʹ),во́семьдесят де́вять ‎(vósemʹdesjat dévjatʹ)
9—,девяно́сто ‎(devjanósto),девяно́сто оди́н ‎(devjanósto odín),девяно́сто два ‎(devjanósto dva),девяно́сто три ‎(devjanósto tri),девяно́сто четы́ре ‎(devjanósto četýre),девяно́сто пять ‎(devjanósto pjatʹ),девяно́сто шесть ‎(devjanósto šestʹ),девяно́сто семь ‎(devjanósto semʹ),девяно́сто во́семь ‎(devjanósto vósemʹ),девяно́сто де́вять ‎(devjanósto dévjatʹ)
