0,1,2
,singular,plural
nominative,ще́льščélʹ,ще́лиščéli
genitive,ще́лиščéli,ще́лейščélej
dative,ще́лиščéli,ще́лямščéljam
accusative,ще́льščélʹ,ще́лиščéli
instrumental,ще́льюščélʹju,ще́лямиščéljami
prepositional,ще́лиščéli,ще́ляхščéljax
locative,в щели́v ščelí,
,singular,plural
nominative,ще́льščélʹ,ще́лиščéli
genitive,ще́лиščéli,ще́лейščélej
dative,ще́лиščéli,ще́лямъščéljam
accusative,ще́льščélʹ,ще́лиščéli
instrumental,ще́льюščélʹju,ще́лямиščéljami
prepositional,ще́лиščéli,ще́ляхъščéljax
locative,в щели́v ščelí,
