0,1,2,3,4,5
,masculine,neuter,feminine,plural,
nominative,наби́тыйnabítyj,наби́тоеnabítoje,наби́таяnabítaja,наби́тыеnabítyje,
genitive,наби́тогоnabítovo,наби́тойnabítoj,наби́тыхnabítyx,,
dative,наби́томуnabítomu,наби́тойnabítoj,наби́тымnabítym,,
accusative,animate,наби́тогоnabítovo,наби́тоеnabítoje,наби́туюnabítuju,наби́тыхnabítyx
inanimate,наби́тыйnabítyj,наби́тыеnabítyje,,,
instrumental,наби́тымnabítym,"наби́той, наби́тоюnabítoj, nabítoju",наби́тымиnabítymi,,
prepositional,наби́томnabítom,наби́тойnabítoj,наби́тыхnabítyx,,
,,,,,
short form,наби́тnabít,наби́тоnabíto,наби́таnabíta,наби́тыnabíty,
