0,1
,singular
nominative,хме́льxmélʹ
genitive,хме́ляxmélja
dative,хме́люxmélju
accusative,хме́льxmélʹ
instrumental,хме́лемxmélem
prepositional,хме́леxméle
locative,"на хме́ле, в хме́ле, во хмелю́*na xméle, v xméle, vo xmeljú*"
