0,1,2,3,4,5,6,7,8,9,10
<  4th,5th,6th  >,,,,,,,,
Cardinal : пять ‎(pjatʹ)     Ordinal : пятый ‎(pjatyj),,,,,,,,,,
,,,,,,,,,,
PIE root,,,,,,,,,,
*penkʷ-,,,,,,,,,,
Audio,,(file),,,,,,,,
,masculine,neuter,feminine,plural,,,,,,
nominative,пя́тыйpjátyj,пя́тоеpjátoje,пя́таяpjátaja,пя́тыеpjátyje,,,,,,
genitive,пя́тогоpjátovo,пя́тойpjátoj,пя́тыхpjátyx,,,,,,,
dative,пя́томуpjátomu,пя́тойpjátoj,пя́тымpjátym,,,,,,,
accusative,animate,пя́тогоpjátovo,пя́тоеpjátoje,пя́туюpjátuju,пя́тыхpjátyx,,,,,
inanimate,пя́тыйpjátyj,пя́тыеpjátyje,,,,,,,,
instrumental,пя́тымpjátym,"пя́той, пя́тоюpjátoj, pjátoju",пя́тымиpjátymi,,,,,,,
prepositional,пя́томpjátom,пя́тойpjátoj,пя́тыхpjátyx,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,нулево́й ‎(nulevój) ‎,пе́рвый ‎(pérvyj) ‎,второ́й ‎(vtorój),тре́тий ‎(trétij) ‎,четвёртый ‎(četvjórtyj) ‎,пя́тый ‎(pjátyj) ‎,шесто́й ‎(šestój) ‎,седьмо́й ‎(sedʹmój) ‎,восьмо́й ‎(vosʹmój) ‎,девя́тый ‎(devjátyj)
1—,деся́тый ‎(desjátyj) ‎,оди́ннадцатый ‎(odínnadcatyj) ‎,двена́дцатый ‎(dvenádcatyj) ‎,трина́дцатый ‎(trinádcatyj) ‎,четы́рнадцатый ‎(četýrnadcatyj) ‎,пятна́дцатый ‎(pjatnádcatyj) ‎,шестна́дцатый ‎(šestnádcatyj) ‎,семна́дцатый ‎(semnádcatyj) ‎,восемна́дцатый ‎(vosemnádcatyj) ‎,девятна́дцатый ‎(devjatnádcatyj)
2—,двадца́тый ‎(dvadcátyj) ‎,два́дцать пе́рвый ‎(dvádcatʹ pérvyj) ‎,два́дцать второ́й ‎(dvádcatʹ vtorój),два́дцать тре́тий ‎(dvádcatʹ trétij) ‎,два́дцать четвёртый ‎(dvádcatʹ četvjórtyj) ‎,два́дцать пя́тый ‎(dvádcatʹ pjátyj) ‎,два́дцать шесто́й ‎(dvádcatʹ šestój) ‎,два́дцать седьмо́й ‎(dvádcatʹ sedʹmój) ‎,два́дцать восьмо́й ‎(dvádcatʹ vosʹmój) ‎,два́дцать девя́тый ‎(dvádcatʹ devjátyj)
