0,1
,singular (singulare tantum)
nominative,պարսկերեն ‎(parskeren)
dative,պարսկերենի ‎(parskereni)
ablative,պարսկերենից ‎(parskerenicʿ)
instrumental,պարսկերենով ‎(parskerenov)
locative,պարսկերենում ‎(parskerenum)
,definite forms
nominative,պարսկերենը/պարսկերենն ‎(parskerenə/parskerenn)
dative,պարսկերենին ‎(parskerenin)
,1st person possessive forms (my)
nominative,պարսկերենս ‎(parskerens)
dative,պարսկերենիս ‎(parskerenis)
ablative,պարսկերենիցս ‎(parskerenicʿs)
instrumental,պարսկերենովս ‎(parskerenovs)
locative,պարսկերենումս ‎(parskerenums)
,2nd person possessive forms (your)
nominative,պարսկերենդ ‎(parskerend)
dative,պարսկերենիդ ‎(parskerenid)
ablative,պարսկերենիցդ ‎(parskerenicʿd)
instrumental,պարսկերենովդ ‎(parskerenovd)
locative,պարսկերենումդ ‎(parskerenumd)
