0,1
,singular (singulare tantum)
nominative,քարածուխ ‎(kʿaracux)
dative,քարածխի ‎(kʿaracxi)
ablative,քարածխից ‎(kʿaracxicʿ)
instrumental,քարածխով ‎(kʿaracxov)
locative,քարածխում ‎(kʿaracxum)
,definite forms
nominative,քարածուխը/քարածուխն ‎(kʿaracuxə/kʿaracuxn)
dative,քարածխին ‎(kʿaracxin)
,1st person possessive forms (my)
nominative,քարածուխս ‎(kʿaracuxs)
dative,քարածխիս ‎(kʿaracxis)
ablative,քարածխիցս ‎(kʿaracxicʿs)
instrumental,քարածխովս ‎(kʿaracxovs)
locative,քարածխումս ‎(kʿaracxums)
,2nd person possessive forms (your)
nominative,քարածուխդ ‎(kʿaracuxd)
dative,քարածխիդ ‎(kʿaracxid)
ablative,քարածխիցդ ‎(kʿaracxicʿd)
instrumental,քարածխովդ ‎(kʿaracxovd)
locative,քարածխումդ ‎(kʿaracxumd)
,singular (singulare tantum)
nominative,քարածուխ ‎(kʿaracux)
dative,քարածուխի ‎(kʿaracuxi)
ablative,քարածուխից ‎(kʿaracuxicʿ)
instrumental,քարածուխով ‎(kʿaracuxov)
locative,քարածուխում ‎(kʿaracuxum)
,definite forms
nominative,քարածուխը/քարածուխն ‎(kʿaracuxə/kʿaracuxn)
dative,քարածուխին ‎(kʿaracuxin)
,1st person possessive forms (my)
nominative,քարածուխս ‎(kʿaracuxs)
dative,քարածուխիս ‎(kʿaracuxis)
ablative,քարածուխիցս ‎(kʿaracuxicʿs)
instrumental,քարածուխովս ‎(kʿaracuxovs)
locative,քարածուխումս ‎(kʿaracuxums)
,2nd person possessive forms (your)
nominative,քարածուխդ ‎(kʿaracuxd)
dative,քարածուխիդ ‎(kʿaracuxid)
ablative,քարածուխիցդ ‎(kʿaracuxicʿd)
instrumental,քարածուխովդ ‎(kʿaracuxovd)
locative,քարածուխումդ ‎(kʿaracuxumd)
