0,1
,singular (uncountable)
nominative,ցանկալ (cʿankal)
nominative definite,ցանկալը/ցանկալն (cʿankalə/cʿankaln)
dative,ցանկալու (cʿankalu)
dative definite,ցանկալուն (cʿankalun)
ablative,ցանկալուց (cʿankalucʿ)
instrumental,ցանկալով (cʿankalov)
locative,ցանկալում (cʿankalum)
,singular (uncountable)
nominative,չցանկալ (čʿcʿankal)
nominative definite,չցանկալը/չցանկալն (čʿ{{{1}}}ə/čʿcʿankaln)
dative,չցանկալու (čʿcʿankalu)
dative definite,չցանկալուն (čʿcʿankalun)
ablative,չցանկալուց (čʿcʿankalucʿ)
instrumental,չցանկալով (čʿcʿankalov)
locative,չցանկալում (čʿcʿankalum)
