0,1,2,3,4,5,6
,singular,plural,,,,
nominative,վայրկյան ‎(vayrkyan),վայրկյաններ ‎(vayrkyanner),,,,
dative,վայրկյանի ‎(vayrkyani),վայրկյանների ‎(vayrkyanneri),,,,
ablative,վայրկյանից ‎(vayrkyanicʿ),վայրկյաններից ‎(vayrkyannericʿ),,,,
instrumental,վայրկյանով ‎(vayrkyanov),վայրկյաններով ‎(vayrkyannerov),,,,
locative,վայրկյանում ‎(vayrkyanum),վայրկյաններում ‎(vayrkyannerum),,,,
,definite forms,,,,,
nominative,վայրկյանը/վայրկյանն ‎(vayrkyanə/vayrkyann),վայրկյանները/վայրկյաններն ‎(vayrkyannerə/vayrkyannern),,,,
dative,վայրկյանին ‎(vayrkyanin),վայրկյաններին ‎(vayrkyannerin),,,,
,1st person possessive forms (my),,,,,
nominative,վայրկյանս ‎(vayrkyans),վայրկյաններս ‎(vayrkyanners),,,,
dative,վայրկյանիս ‎(vayrkyanis),վայրկյաններիս ‎(vayrkyanneris),,,,
ablative,վայրկյանիցս ‎(vayrkyanicʿs),վայրկյաններիցս ‎(vayrkyannericʿs),,,,
instrumental,վայրկյանովս ‎(vayrkyanovs),վայրկյաններովս ‎(vayrkyannerovs),,,,
locative,վայրկյանումս ‎(vayrkyanums),վայրկյաններումս ‎(vayrkyannerums),,,,
,2nd person possessive forms (your),,,,,
nominative,վայրկյանդ ‎(vayrkyand),վայրկյաններդ ‎(vayrkyannerd),,,,
dative,վայրկյանիդ ‎(vayrkyanid),վայրկյաններիդ ‎(vayrkyannerid),,,,
ablative,վայրկյանիցդ ‎(vayrkyanicʿd),վայրկյաններիցդ ‎(vayrkyannericʿd),,,,
instrumental,վայրկյանովդ ‎(vayrkyanovd),վայրկյաններովդ ‎(vayrkyannerovd),,,,
locative,վայրկյանումդ ‎(vayrkyanumd),վայրկյաններումդ ‎(vayrkyannerumd),,,,
,singular,plural,,,,
nominative,վայրկյան ‎(vayrkyan),վայրկյաններ ‎(vayrkyanner),,,,
dative,վայրկյանվա ‎(vayrkyanva),վայրկյանների ‎(vayrkyanneri),,,,
ablative,վայրկյանվանից ‎(vayrkyanvanicʿ),վայրկյաններից ‎(vayrkyannericʿ),,,,
instrumental,վայրկյանով ‎(vayrkyanov),վայրկյաններով ‎(vayrkyannerov),,,,
locative,վայրկյանում ‎(vayrkyanum),վայրկյաններում ‎(vayrkyannerum),,,,
,definite forms,,,,,
nominative,վայրկյանը/վայրկյանն ‎(vayrkyanə/vayrkyann),վայրկյանները/վայրկյաններն ‎(vayrkyannerə/vayrkyannern),,,,
dative,վայրկյանվան ‎(vayrkyanvan),վայրկյաններին ‎(vayrkyannerin),,,,
,1st person possessive forms (my),,,,,
nominative,վայրկյանս ‎(vayrkyans),վայրկյաններս ‎(vayrkyanners),,,,
dative,վայրկյանվաս ‎(vayrkyanvas),վայրկյաններիս ‎(vayrkyanneris),,,,
ablative,վայրկյանվանիցս ‎(vayrkyanvanicʿs),վայրկյաններիցս ‎(vayrkyannericʿs),,,,
instrumental,վայրկյանովս ‎(vayrkyanovs),վայրկյաններովս ‎(vayrkyannerovs),,,,
locative,վայրկյանումս ‎(vayrkyanums),վայրկյաններումս ‎(vayrkyannerums),,,,
,2nd person possessive forms (your),,,,,
nominative,վայրկյանդ ‎(vayrkyand),վայրկյաններդ ‎(vayrkyannerd),,,,
dative,վայրկյանվադ ‎(vayrkyanvad),վայրկյաններիդ ‎(vayrkyannerid),,,,
ablative,վայրկյանվանիցդ ‎(vayrkyanvanicʿd),վայրկյաններիցդ ‎(vayrkyannericʿd),,,,
instrumental,վայրկյանովդ ‎(vayrkyanovd),վայրկյաններովդ ‎(vayrkyannerovd),,,,
locative,վայրկյանումդ ‎(vayrkyanumd),վայրկյաններումդ ‎(vayrkyannerumd),,,,
colloquial,,,,,,
վայրկենական ‎(vayrkenakan),,վայրկենաչափ ‎(vayrkenačʿapʿ),,վայրկենապես ‎(vayrkenapes),,
