0,1
,plural only (plurale tantum)
nominative,հերեսիոտք ‎(heresiotkʿ)
genitive,հերեսիոտաց ‎(heresiotacʿ)
dative,հերեսիոտաց ‎(heresiotacʿ)
accusative,հերեսիոտս ‎(heresiots)
ablative,հերեսիոտաց ‎(heresiotacʿ)
instrumental,հերեսիոտաւք = հերեսիոտօք ‎(heresiotawkʿ = heresiotōkʿ)
locative,հերեսիոտս ‎(heresiots)
,plural only (plurale tantum)
nominative,հերեսիոտք ‎(heresiotkʿ)
genitive,հերեսիոտից ‎(heresioticʿ)
dative,հերեսիոտից ‎(heresioticʿ)
accusative,հերեսիոտս ‎(heresiots)
ablative,հերեսիոտից ‎(heresioticʿ)
instrumental,հերեսիոտիւք ‎(heresiotiwkʿ)
locative,հերեսիոտս ‎(heresiots)
