0,1,2,3,4,5
non-pronominal forms (neįvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis) neuter (bevardė giminė): aštru,nominative (vardininkas),aštrus,aštrūs,aštri,aštrios
genitive (kilmininkas),aštraus,aštrių,aštrios,aštrių,
dative (naudininkas),aštriam,aštriems,aštriai,aštrioms,
accusative (galininkas),aštrų,aštrius,aštrią,aštrias,
instrumental (įnagininkas),aštriu,aštriais,aštria,aštriomis,
locative (vietininkas),aštriame,aštriuose,aštrioje,aštriose,
vocative (šauksmininkas),aštrus,aštrūs,aštri,aštrios,
,,,,,
comparative degree (aukštesnysis laipsnis) neuter (bevardė giminė): aštriau,nominative (vardininkas),aštresnis,aštresni,aštresnė,aštresnės
genitive (kilmininkas),aštresnio,aštresnių,aštresnės,aštresnių,
dative (naudininkas),aštresniam,aštresniems,aštresnei,aštresnėms,
accusative (galininkas),aštresnį,aštresnius,aštresnę,aštresnes,
instrumental (įnagininkas),aštresniu,aštresniais,aštresne,aštresnėmis,
locative (vietininkas),aštresniame,aštresniuose,aštresnėje,aštresnėse,
,,,,,
superlative degree (aukščiausiasis laipsnis) neuter (bevardė giminė): aštriausia,nominative (vardininkas),aštriausias,aštriausi,aštriausia,aštriausios
genitive (kilmininkas),aštriausio,aštriausių,aštriausios,aštriausių,
dative (naudininkas),aštriausiam,aštriausiems,aštriausiai,aštriausioms,
accusative (galininkas),aštriausią,aštriausius,aštriausią,aštriausias,
instrumental (įnagininkas),aštriausiu,aštriausiais,aštriausia,aštriausiomis,
locative (vietininkas),aštriausiame,aštriausiuose,aštriausioje,aštriausiose,
pronominal forms (įvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis),nominative (vardininkas),aštrusis,aštrieji,aštrioji,aštriosios
genitive (kilmininkas),aštriojo,aštriųjų,aštriosios,aštriųjų,
dative (naudininkas),aštriajam,aštriesiems,aštriajai,aštriosioms,
accusative (galininkas),aštrųjį,aštriuosius,aštriąją,aštriąsias,
instrumental (įnagininkas),aštriuoju,aštriaisiais,aštriąja,aštriosiomis,
locative (vietininkas),aštriajame,aštriuosiuose,aštriojoje,aštriosiose,
vocative (šauksmininkas),aštrusis,aštrieji,aštrioji,aštriosios,
,,,,,
comparative degree (aukštesnysis laipsnis),nominative (vardininkas),aštresnysis,aštresnieji,aštresnioji,aštresniosios
genitive (kilmininkas),aštresniojo,aštresniųjų,aštresniosios,aštresniųjų,
dative (naudininkas),aštresniajam,aštresniesiems,aštresniajai,aštresniosioms,
accusative (galininkas),aštresnįjį,aštresniuosius,aštresniąją,aštresniąsias,
instrumental (įnagininkas),aštresniuoju,aštresniaisiais,aštresniąja,aštresniosiomis,
locative (vietininkas),aštresniajame,aštresniuosiuose,aštresniojoje,aštresniosiose,
,,,,,
superlative degree (aukščiausiasis laipsnis),nominative (vardininkas),aštriausiasis,aštriausieji,aštriausioji,aštriausiosios
genitive (kilmininkas),aštriausiojo,aštriausiųjų,aštriausiosios,aštriausiųjų,
dative (naudininkas),aštriausiajam,aštriausiesiems,aštriausiajai,aštriausiosioms,
accusative (galininkas),aštriausiąjį,aštriausiuosius,aštriausiąją,aštriausiąsias,
instrumental (įnagininkas),aštriausiuoju,aštriausiaisiais,aštriausiąja,aštriausiosiomis,
locative (vietininkas),aštriausiajame,aštriausiuosiuose,aštriausiojoje,aštriausiosiose,
aštrėti  aštrinti,,,,,
