0,1,2,3,4
,masculine,,feminine,
singular,plural,singular,plural,
nominative,ADJ;NOM;SG;MASC;POS,ADJ;NOM;PL;MASC;POS,ADJ;NOM;SG;FEM;POS,ADJ;NOM;PL;FEM;POS
genitive,ADJ;GEN;SG;MASC;POS,ADJ;GEN;PL;MASC;POS,ADJ;GEN;SG;FEM;POS,ADJ;GEN;PL;FEM;POS
dative,ADJ;DAT;SG;MASC;POS,ADJ;DAT;PL;MASC;POS,ADJ;DAT;SG;FEM;POS,ADJ;DAT;PL;FEM;POS
accusative,ADJ;ACC;SG;MASC;POS,ADJ;ACC;PL;MASC;POS,ADJ;ACC;SG;FEM;POS,ADJ;ACC;PL;FEM;POS
instrumental,ADJ;INST;SG;MASC;POS,ADJ;INST;PL;MASC;POS,ADJ;INST;SG;FEM;POS,ADJ;INST;PL;FEM;POS
locative,ADJ;LOC;SG;MASC;POS,ADJ;LOC;PL;MASC;POS,ADJ;LOC;SG;FEM;POS,ADJ;LOC;PL;FEM;POS
vocative,ADJ;VOC;SG;MASC;POS,ADJ;VOC;PL;MASC;POS,ADJ;VOC;SG;FEM;POS,ADJ;VOC;PL;FEM;POS
