0,1,2,3,4,5
non-pronominal forms (neįvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis) neuter (bevardė giminė): aukšta,nominative (vardininkas),aukštas,aukšti,aukšta,aukštos
genitive (kilmininkas),aukšto,aukštų,aukštos,aukštų,
dative (naudininkas),aukštam,aukštiems,aukštai,aukštoms,
accusative (galininkas),aukštą,aukštus,aukštą,aukštas,
instrumental (įnagininkas),aukštu,aukštais,aukšta,aukštomis,
locative (vietininkas),aukštame,aukštuose,aukštoje,aukštose,
vocative (šauksmininkas),aukštas,aukšti,aukšta,aukštos,
,,,,,
comparative degree (aukštesnysis laipsnis) neuter (bevardė giminė): aukščiau,nominative (vardininkas),aukštesnis,aukštesni,aukštesnė,aukštesnės
genitive (kilmininkas),aukštesnio,aukštesnių,aukštesnės,aukštesnių,
dative (naudininkas),aukštesniam,aukštesniems,aukštesnei,aukštesnėms,
accusative (galininkas),aukštesnį,aukštesnius,aukštesnę,aukštesnes,
instrumental (įnagininkas),aukštesniu,aukštesniais,aukštesne,aukštesnėmis,
locative (vietininkas),aukštesniame,aukštesniuose,aukštesnėje,aukštesnėse,
,,,,,
superlative degree (aukščiausiasis laipsnis) neuter (bevardė giminė): aukščiausia,nominative (vardininkas),aukščiausias,aukščiausi,aukščiausia,aukščiausios
genitive (kilmininkas),aukščiausio,aukščiausių,aukščiausios,aukščiausių,
dative (naudininkas),aukščiausiam,aukščiausiems,aukščiausiai,aukščiausioms,
accusative (galininkas),aukščiausią,aukščiausius,aukščiausią,aukščiausias,
instrumental (įnagininkas),aukščiausiu,aukščiausiais,aukščiausia,aukščiausiomis,
locative (vietininkas),aukščiausiame,aukščiausiuose,aukščiausioje,aukščiausiose,
pronominal forms (įvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis),nominative (vardininkas),aukštasis,aukštieji,aukštoji,aukštosios
genitive (kilmininkas),aukštojo,aukštųjų,aukštosios,aukštųjų,
dative (naudininkas),aukštajam,aukštiesiems,aukštajai,aukštosioms,
accusative (galininkas),aukštąjį,aukštuosius,aukštąją,aukštąsias,
instrumental (įnagininkas),aukštuoju,aukštaisiais,aukštąja,aukštosiomis,
locative (vietininkas),aukštajame,aukštuosiuose,aukštojoje,aukštosiose,
vocative (šauksmininkas),aukštasis,aukštieji,aukštoji,aukštosios,
,,,,,
comparative degree (aukštesnysis laipsnis),nominative (vardininkas),aukštesnysis,aukštesnieji,aukštesnioji,aukštesniosios
genitive (kilmininkas),aukštesniojo,aukštesniųjų,aukštesniosios,aukštesniųjų,
dative (naudininkas),aukštesniajam,aukštesniesiems,aukštesniajai,aukštesniosioms,
accusative (galininkas),aukštesnįjį,aukštesniuosius,aukštesniąją,aukštesniąsias,
instrumental (įnagininkas),aukštesniuoju,aukštesniaisiais,aukštesniąja,aukštesniosiomis,
locative (vietininkas),aukštesniajame,aukštesniuosiuose,aukštesniojoje,aukštesniosiose,
,,,,,
superlative degree (aukščiausiasis laipsnis),nominative (vardininkas),aukščiausiasis,aukščiausieji,aukščiausioji,aukščiausiosios
genitive (kilmininkas),aukščiausiojo,aukščiausiųjų,aukščiausiosios,aukščiausiųjų,
dative (naudininkas),aukščiausiajam,aukščiausiesiems,aukščiausiajai,aukščiausiosioms,
accusative (galininkas),aukščiausiąjį,aukščiausiuosius,aukščiausiąją,aukščiausiąsias,
instrumental (įnagininkas),aukščiausiuoju,aukščiausiaisiais,aukščiausiąja,aukščiausiosiomis,
locative (vietininkas),aukščiausiajame,aukščiausiuosiuose,aukščiausiojoje,aukščiausiosiose,
aukštai; (comparative) aukščiau,,,,,
aukštaitis m  aukštybė f  aukštumas m,,,,,
Aukštaitija f,,,,,
,singular (vienaskaita),plural (daugiskaita),,,
nominative (vardininkas),aũkštas,aũkštai,,,
genitive (kilmininkas),aũkšto,aũkštų,,,
dative (naudininkas),aũkštui,aũkštams,,,
accusative (galininkas),aũkštą,aukštùs,,,
instrumental (įnagininkas),aukštù,aũkštais,,,
locative (vietininkas),aukštè,aũkštuose,,,
vocative (šauksmininkas),aũkšte,aũkštai,,,
