0,1,2,3,4,5,6,7
,singular (vienaskaita),,plural (daugiskaita),,,,
1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),,
,aš,tu,jis/ji,mes,jūs,jie/jos,
indicative (tiesioginė nuosaka),present (esamasis laikas),sopu,sopi,sopa,"sopame, sopam","sopate, sopat",sopa
past (būtasis kartinis laikas),sopėjau,sopėjai,sopėjo,"sopėjome, sopėjom","sopėjote, sopėjot",sopėjo,
past frequentative (būtasis dažninis laikas),sopėdavau,sopėdavai,sopėdavo,"sopėdavome, sopėdavom","sopėdavote, sopėdavot",sopėdavo,
future (būsimasis laikas),sopėsiu,sopėsi,sopės,"sopėsime, sopėsim","sopėsite, sopėsit",sopės,
subjunctive (tariamoji nuosaka),sopėčiau,"sopėtum, sopėtumei",sopėtų,"sopėtumėme, sopėtumėm, sopėtume","sopėtumėte, sopėtumėt",sopėtų,
imperative (liepiamoji nuosaka),—,"sopėk, sopėki","tesopa, tesopie","sopėkime, sopėkim","sopėkite, sopėkit","tesopa, tesopie",
,active,passive,,,,,
present,"sopąs, sopantis",sopamas,,,,,
past,sopėjęs,sopėtas,,,,,
past frequentative,sopėdavęs,—,,,,,
future,"sopėsiąs, sopėsiantis",sopėsimas,,,,,
,,,,,,,
participle of necessity,—,sopėtinas,,,,,
,active,,,,,,
special adverbial participle,sopėdamas,,,,,,
,active,,,,,,
present adverbial,sopant,,,,,,
past adverbial,sopėjus,,,,,,
past frequentative adverbial,sopėdavus,,,,,,
future adverbial,sopėsiant,,,,,,
,,,,,,,
manner of action participle,"sopėte, sopėtinai",,,,,,
sopauti  sopinti  soptelėti  sopti  sopuliuoti,,,,,,,
sopa f  sopė f  sopulys m,,,,,,,
sopulingas  sopus,,,,,,,
susopėti,,,,,,,
sopėjimas m,,,,,,,
