0,1,2,3,4,5,6,7,8
,1st sing.,2d sing.,3d sing.,Passive sing.,,,,
1st pl.,2d pl.,3d pl.,Passive pl.,,,,,
Present indicative,,,,,do·tuit,·tuit,do·tuiter,·tuiter
,,,,do·tuitet,·tuitet,,,
Imperfect indicative,,,,,,,,
,,,,,·tuititis,,,
Preterite,,,,,do·ceir,,,
,,,,do·certar,,,,
Perfect,,·torchar,,·torchar,do·rochair,·torchair,,
,,,,do·rochratar,,,,
Future,,·tóethus,,·tóethais,do·tóeth,·tóeth,,
,,,,do·tóethsat,·tóethsat,,,
Conditional,,,,,,·tóethsad,,
,,,,,·tóethsaitis,,,
Present subjunctive,do·rothudus (ro-form),,,·tothais,,,,
,·torthaissem (ro-form),,,do·todsat,·todsat·torthaisset (ro-form),,,
Past subjunctive,do·toidsinn,,,,do·rothsad (ro-form),,,·todsaitis
,,,,,,,,
Imperative,,tuit,,,,,,
,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,
