0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
PIE root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*h₂ep-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  abhainn  aibhneacha  Vocative  a abhainn  a aibhneacha  Genitive  abhann  aibhneacha  Dative  abhainn  aibhneacha,Case,Singular,Plural,Nominative,abhainn,aibhneacha,Vocative,a abhainn,a aibhneacha,Genitive,abhann,aibhneacha,Dative,abhainn,aibhneacha,Forms with the definite article Case Singular Plural  Nominative  an abhainn  na haibhneacha  Genitive  na habhann  na n-aibhneacha  Dative  leis an abhainn don abhainn  leis na haibhneacha,Case,Singular,Plural,Nominative,an abhainn,na haibhneacha,Genitive,na habhann,na n-aibhneacha,Dative,leis an abhainn don abhainn,leis na haibhneacha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,abhainn,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a abhainn,a aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,abhann,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,abhainn,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an abhainn,na haibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na habhann,na n-aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an abhainn don abhainn,leis na haibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,abhainn,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a abhainn,a aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,abhann,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,abhainn,aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an abhainn,na haibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na habhann,na n-aibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an abhainn don abhainn,leis na haibhneacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  abhainn  aibhne  Vocative  a abhainn  a aibhne  Genitive  aibhne  aibhne  Dative  abhainn  aibhne,Case,Singular,Plural,Nominative,abhainn,aibhne,Vocative,a abhainn,a aibhne,Genitive,aibhne,aibhne,Dative,abhainn,aibhne,Forms with the definite article Case Singular Plural  Nominative  an abhainn  na haibhne  Genitive  na haibhne  na n-aibhne  Dative  leis an abhainn don abhainn  leis na haibhne,Case,Singular,Plural,Nominative,an abhainn,na haibhne,Genitive,na haibhne,na n-aibhne,Dative,leis an abhainn don abhainn,leis na haibhne
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,abhainn,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a abhainn,a aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,aibhne,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,abhainn,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an abhainn,na haibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na haibhne,na n-aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an abhainn don abhainn,leis na haibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,abhainn,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a abhainn,a aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,aibhne,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,abhainn,aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an abhainn,na haibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na haibhne,na n-aibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an abhainn don abhainn,leis na haibhne,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Eclipsis,with h-prothesis,with t-prothesis,,,,,,,,,,,,,,,,,,,,,,,,,
abhainn,n-abhainn,habhainn,t-abhainn,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
