0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms (no plural of this noun) Case Singular  Nominative  gairm  Vocative  a ghairm  Genitive  gairthe  Dative  gairm,Case,Singular,Nominative,gairm,Vocative,a ghairm,Genitive,gairthe,Dative,gairm,Forms with the definite article Case Singular  Nominative  an ghairm  Genitive  na gairthe  Dative  leis an ngairm don ghairm,Case,Singular,Nominative,an ghairm,Genitive,na gairthe,Dative,leis an ngairm don ghairm,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gairthe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na gairthe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngairm don ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gairthe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na gairthe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngairm don ghairm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  gairm  gairmeacha  Vocative  a ghairm  a ghairmeacha  Genitive  gairme  gairmeacha  Dative  gairm  gairmeacha,Case,Singular,Plural,Nominative,gairm,gairmeacha,Vocative,a ghairm,a ghairmeacha,Genitive,gairme,gairmeacha,Dative,gairm,gairmeacha,Forms with the definite article Case Singular Plural  Nominative  an ghairm  na gairmeacha  Genitive  na gairme  na ngairmeacha  Dative  leis an ngairm don ghairm  leis na gairmeacha,Case,Singular,Plural,Nominative,an ghairm,na gairmeacha,Genitive,na gairme,na ngairmeacha,Dative,leis an ngairm don ghairm,leis na gairmeacha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gairm,gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghairm,a ghairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gairme,gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gairm,gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghairm,na gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na gairme,na ngairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngairm don ghairm,leis na gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gairm,gairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghairm,a ghairmeacha,,,,,,,,,,,,,,,,,,,,,,,,,,
