0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  spléachadh  Vocative  a spléachadh  Genitive  spléachta  Dative  spléachadh,Case,Singular,Nominative,spléachadh,Vocative,a spléachadh,Genitive,spléachta,Dative,spléachadh,Forms with the definite article Case Singular  Nominative  an spléachadh  Genitive  an spléachta  Dative  leis an spléachadh don spléachadh,Case,Singular,Nominative,an spléachadh,Genitive,an spléachta,Dative,leis an spléachadh don spléachadh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,spléachadh,,,,,,,,,,,,,,,,,,
Vocative,a spléachadh,,,,,,,,,,,,,,,,,,
Genitive,spléachta,,,,,,,,,,,,,,,,,,
Dative,spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an spléachadh,,,,,,,,,,,,,,,,,,
Genitive,an spléachta,,,,,,,,,,,,,,,,,,
Dative,leis an spléachadh don spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,spléachadh,,,,,,,,,,,,,,,,,,
Vocative,a spléachadh,,,,,,,,,,,,,,,,,,
Genitive,spléachta,,,,,,,,,,,,,,,,,,
Dative,spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an spléachadh,,,,,,,,,,,,,,,,,,
Genitive,an spléachta,,,,,,,,,,,,,,,,,,
Dative,leis an spléachadh don spléachadh,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  spléachadh  Vocative  a spléachaidh  Genitive  spléachaidh  Dative  spléachadh,Case,Singular,Nominative,spléachadh,Vocative,a spléachaidh,Genitive,spléachaidh,Dative,spléachadh,Forms with the definite article: Case Singular  Nominative  an spléachadh  Genitive  an spléachaidh  Dative  leis an spléachadh don spléachadh,Case,Singular,Nominative,an spléachadh,Genitive,an spléachaidh,Dative,leis an spléachadh don spléachadh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,spléachadh,,,,,,,,,,,,,,,,,,
Vocative,a spléachaidh,,,,,,,,,,,,,,,,,,
Genitive,spléachaidh,,,,,,,,,,,,,,,,,,
Dative,spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an spléachadh,,,,,,,,,,,,,,,,,,
Genitive,an spléachaidh,,,,,,,,,,,,,,,,,,
Dative,leis an spléachadh don spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,spléachadh,,,,,,,,,,,,,,,,,,
Vocative,a spléachaidh,,,,,,,,,,,,,,,,,,
Genitive,spléachaidh,,,,,,,,,,,,,,,,,,
Dative,spléachadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an spléachadh,,,,,,,,,,,,,,,,,,
Genitive,an spléachaidh,,,,,,,,,,,,,,,,,,
Dative,leis an spléachadh don spléachadh,,,,,,,,,,,,,,,,,,
