0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  stiúradh  Vocative  a stiúradh  Genitive  stiúrtha  Dative  stiúradh,Case,Singular,Nominative,stiúradh,Vocative,a stiúradh,Genitive,stiúrtha,Dative,stiúradh,Forms with the definite article Case Singular  Nominative  an stiúradh  Genitive  an stiúrtha  Dative  leis an stiúradh don stiúradh,Case,Singular,Nominative,an stiúradh,Genitive,an stiúrtha,Dative,leis an stiúradh don stiúradh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,stiúradh,,,,,,,,,,,,,,,,,,
Vocative,a stiúradh,,,,,,,,,,,,,,,,,,
Genitive,stiúrtha,,,,,,,,,,,,,,,,,,
Dative,stiúradh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an stiúradh,,,,,,,,,,,,,,,,,,
Genitive,an stiúrtha,,,,,,,,,,,,,,,,,,
Dative,leis an stiúradh don stiúradh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,stiúradh,,,,,,,,,,,,,,,,,,
Vocative,a stiúradh,,,,,,,,,,,,,,,,,,
Genitive,stiúrtha,,,,,,,,,,,,,,,,,,
Dative,stiúradh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an stiúradh,,,,,,,,,,,,,,,,,,
Genitive,an stiúrtha,,,,,,,,,,,,,,,,,,
Dative,leis an stiúradh don stiúradh,,,,,,,,,,,,,,,,,,
