0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  gobadh  Vocative  a ghobadh  Genitive  gobtha  Dative  gobadh,Case,Singular,Nominative,gobadh,Vocative,a ghobadh,Genitive,gobtha,Dative,gobadh,Forms with the definite article: Case Singular  Nominative  an gobadh  Genitive  an ghobtha  Dative  leis an ngobadh don ghobadh,Case,Singular,Nominative,an gobadh,Genitive,an ghobtha,Dative,leis an ngobadh don ghobadh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,gobadh,,,,,,,,,,,,,,,,,,
Vocative,a ghobadh,,,,,,,,,,,,,,,,,,
Genitive,gobtha,,,,,,,,,,,,,,,,,,
Dative,gobadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an gobadh,,,,,,,,,,,,,,,,,,
Genitive,an ghobtha,,,,,,,,,,,,,,,,,,
Dative,leis an ngobadh don ghobadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,gobadh,,,,,,,,,,,,,,,,,,
Vocative,a ghobadh,,,,,,,,,,,,,,,,,,
Genitive,gobtha,,,,,,,,,,,,,,,,,,
Dative,gobadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an gobadh,,,,,,,,,,,,,,,,,,
Genitive,an ghobtha,,,,,,,,,,,,,,,,,,
Dative,leis an ngobadh don ghobadh,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
gobadh,ghobadh,ngobadh,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
