0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  gormuaine  Vocative  a ghormuaine  Genitive  gormuaine  Dative  gormuaine,Case,Singular,Nominative,gormuaine,Vocative,a ghormuaine,Genitive,gormuaine,Dative,gormuaine,Forms with the definite article Case Singular  Nominative  an ghormuaine  Genitive  na gormuaine  Dative  leis an ngormuaine don ghormuaine,Case,Singular,Nominative,an ghormuaine,Genitive,na gormuaine,Dative,leis an ngormuaine don ghormuaine
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,gormuaine,,,,,,,,,,,,,,,,,,
Vocative,a ghormuaine,,,,,,,,,,,,,,,,,,
Genitive,gormuaine,,,,,,,,,,,,,,,,,,
Dative,gormuaine,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an ghormuaine,,,,,,,,,,,,,,,,,,
Genitive,na gormuaine,,,,,,,,,,,,,,,,,,
Dative,leis an ngormuaine don ghormuaine,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,gormuaine,,,,,,,,,,,,,,,,,,
Vocative,a ghormuaine,,,,,,,,,,,,,,,,,,
Genitive,gormuaine,,,,,,,,,,,,,,,,,,
Dative,gormuaine,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an ghormuaine,,,,,,,,,,,,,,,,,,
Genitive,na gormuaine,,,,,,,,,,,,,,,,,,
Dative,leis an ngormuaine don ghormuaine,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
gormuaine,ghormuaine,ngormuaine,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
