0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,
Nominative,bog,bhog,boga;bhoga²,,,,,,,,,,,,,,,,
Vocative,bhoig,boga,,,,,,,,,,,,,,,,,
Genitive,boige,boga,bog,,,,,,,,,,,,,,,,
Dative,bog;bhog¹,bhog;bhoig (archaic),boga;bhoga²,,,,,,,,,,,,,,,,
Comparative,níos boige,,,,,,,,,,,,,,,,,,
Superlative,is boige,,,,,,,,,,,,,,,,,,
"an rud a fhaightear go bog caitear go bog é ‎(“easy come, easy go”)  bogearraí ‎(“software”)",,"bog- ‎(“soft, mild; nearly; easy”)  casacht bhog ‎(“loose cough”)",,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  bog  Vocative  a bhoig  Genitive  boig  Dative  bog,Case,Singular,Nominative,bog,Vocative,a bhoig,Genitive,boig,Dative,bog,Forms with the definite article: Case Singular  Nominative  an bog  Genitive  an bhoig  Dative  leis an mbog don bhog,Case,Singular,Nominative,an bog,Genitive,an bhoig,Dative,leis an mbog don bhog
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,bog,,,,,,,,,,,,,,,,,,
Vocative,a bhoig,,,,,,,,,,,,,,,,,,
Genitive,boig,,,,,,,,,,,,,,,,,,
Dative,bog,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an bog,,,,,,,,,,,,,,,,,,
Genitive,an bhoig,,,,,,,,,,,,,,,,,,
Dative,leis an mbog don bhog,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,bog,,,,,,,,,,,,,,,,,,
Vocative,a bhoig,,,,,,,,,,,,,,,,,,
Genitive,boig,,,,,,,,,,,,,,,,,,
Dative,bog,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an bog,,,,,,,,,,,,,,,,,,
Genitive,an bhoig,,,,,,,,,,,,,,,,,,
Dative,leis an mbog don bhog,,,,,,,,,,,,,,,,,,
,singular,plural,relative,autonomous,,,,,,,,,,,,,,,
first,second,third,first,second,third,,,,,,,,,,,,,,
indicative,present,bogaim,bogann tú; bogair†,"bogann sé, sí",bogaimid,bogann sibh,bogann siad; bogaid†,a bhogann; a bhogas /a mbogann*; a mbogas*,bogtar,,,,,,,,,,
past,bhog mé; bhogas,bhog tú; bhogais,"bhog sé, sí",bhogamar; bhog muid,bhog sibh; bhogabhair,bhog siad; bhogadar,a bhog /ar bhog*,bogadh,,,,,,,,,,,
past habitual,bhogainn,bhogtá,"bhogadh sé, sí",bhogaimis; bhogadh muid,bhogadh sibh,bhogaidís; bhogadh siad,a bhogadh /ar bhogadh*,bhogtaí,,,,,,,,,,,
future,bogfaidh mé; bogfad,bogfaidh tú; bogfair†,"bogfaidh sé, sí",bogfaimid; bogfaidh muid,bogfaidh sibh,bogfaidh siad; bogfaid†,a bhogfaidh; a bhogfas /a mbogfaidh*; a mbogfas*,bogfar,,,,,,,,,,,
conditional,bhogfainn,bhogfá,"bhogfadh sé, sí",bhogfaimis; bhogfadh muid,bhogfadh sibh,bhogfaidís; bhogfadh siad,a bhogfadh /ar bhogfadh*,bhogfaí,,,,,,,,,,,
subjunctive,present,go mboga mé; go mbogad†,go mboga tú; go mbogair†,"go mboga sé, sí",go mbogaimid; go mboga muid,go mboga sibh,go mboga siad; go mbogaid†,—,go mbogtar,,,,,,,,,,
past,dá mbogainn,dá mbogtá,"dá mbogadh sé, sí",dá mbogaimis; dá mbogadh muid,dá mbogadh sibh,dá mbogaidís; dá mbogadh siad,—,dá mbogtaí,,,,,,,,,,,
imperative,bogaim,bog,"bogadh sé, sí",bogaimis,bogaigí; bogaidh†,bogaidís,—,bogtar,,,,,,,,,,,
verbal noun,bogadh,,,,,,,,,,,,,,,,,,
past participle,bogtha,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
bog,bhog,mbog,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
