0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
PIE root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*weh₂t-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  fáistine  fáistiní  Vocative  a fháistine  a fháistiní  Genitive  fáistine  fáistiní  Dative  fáistine  fáistiní,Case,Singular,Plural,Nominative,fáistine,fáistiní,Vocative,a fháistine,a fháistiní,Genitive,fáistine,fáistiní,Dative,fáistine,fáistiní,Forms with the definite article Case Singular Plural  Nominative  an fháistine  na fáistiní  Genitive  na fáistine  na bhfáistiní  Dative  leis an bhfáistine don fháistine  leis na fáistiní,Case,Singular,Plural,Nominative,an fháistine,na fáistiní,Genitive,na fáistine,na bhfáistiní,Dative,leis an bhfáistine don fháistine,leis na fáistiní
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fháistine,a fháistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fháistine,na fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na fáistine,na bhfáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfáistine don fháistine,leis na fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fháistine,a fháistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fáistine,fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fháistine,na fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na fáistine,na bhfáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfáistine don fháistine,leis na fáistiní,,,,,,,,,,,,,,,,,,,,,,,,,,
"fáistineach ‎(“prophetic; future”, adjective)  fáistineach m ‎(“prophet, soothsayer; future (tense)”)",,fáistineacht f ‎(“fortune-telling”),,"fáistinigh ‎(“prophesy”, verb)",,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
fáistine,fháistine,bhfáistine,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
