0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural form of this noun) Case Singular  Nominative  glóbailin  Vocative  a ghlóbailin  Genitive  glóbailine  Dative  glóbailin,Case,Singular,Nominative,glóbailin,Vocative,a ghlóbailin,Genitive,glóbailine,Dative,glóbailin,Forms with the definite article Case Singular  Nominative  an ghlóbailin  Genitive  na glóbailine  Dative  leis an nglóbailin don ghlóbailin,Case,Singular,Nominative,an ghlóbailin,Genitive,na glóbailine,Dative,leis an nglóbailin don ghlóbailin
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,N;NOM;SG,,,,,,,,,,,,,,,,,,
Vocative,N;VOC;SG,,,,,,,,,,,,,,,,,,
Genitive,N;GEN;SG,,,,,,,,,,,,,,,,,,
Dative,N;DAT;SG,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,N;NOM;SG;DEF,,,,,,,,,,,,,,,,,,
Genitive,N;GEN;SG;DEF,,,,,,,,,,,,,,,,,,
Dative,N;DAT;SG;DEF,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,glóbailin,,,,,,,,,,,,,,,,,,
Vocative,a ghlóbailin,,,,,,,,,,,,,,,,,,
Genitive,glóbailine,,,,,,,,,,,,,,,,,,
Dative,glóbailin,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an ghlóbailin,,,,,,,,,,,,,,,,,,
Genitive,na glóbailine,,,,,,,,,,,,,,,,,,
Dative,leis an nglóbailin don ghlóbailin,,,,,,,,,,,,,,,,,,
alfa-ghlóbailin  béite-ghlóbailin  gáma-ghlóbailin,,glóbailin imdhíonachta  iaiditíreaglóbailin,,lachtghlóbailin  tíreaglóbailin,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
glóbailin,ghlóbailin,nglóbailin,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
