0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  Liútarach  Liútaraigh  Vocative  a Liútaraigh  a Liútaracha  Genitive  Liútaraigh  Liútarach  Dative  Liútarach  Liútaraigh,Case,Singular,Plural,Nominative,Liútarach,Liútaraigh,Vocative,a Liútaraigh,a Liútaracha,Genitive,Liútaraigh,Liútarach,Dative,Liútarach,Liútaraigh,Forms with the definite article: Case Singular Plural  Nominative  an Liútarach  na Liútaraigh  Genitive  an Liútaraigh  na Liútarach  Dative  leis an Liútarach don Liútarach  leis na Liútaraigh,Case,Singular,Plural,Nominative,an Liútarach,na Liútaraigh,Genitive,an Liútaraigh,na Liútarach,Dative,leis an Liútarach don Liútarach,leis na Liútaraigh
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Liútarach,Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Liútaraigh,a Liútaracha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Liútaraigh,Liútarach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Liútarach,Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Liútarach,na Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Liútaraigh,na Liútarach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Liútarach don Liútarach,leis na Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Liútarach,Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Liútaraigh,a Liútaracha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Liútaraigh,Liútarach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Liútarach,Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Liútarach,na Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Liútaraigh,na Liútarach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Liútarach don Liútarach,leis na Liútaraigh,,,,,,,,,,,,,,,,,,,,,,,,,,
