0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  folcadh  folcthaí  Vocative  a fholcadh  a fholcthaí  Genitive  folctha  folcthaí  Dative  folcadh  folcthaí,Case,Singular,Plural,Nominative,folcadh,folcthaí,Vocative,a fholcadh,a fholcthaí,Genitive,folctha,folcthaí,Dative,folcadh,folcthaí,Forms with the definite article Case Singular Plural  Nominative  an folcadh  na folcthaí  Genitive  an fholctha  na bhfolcthaí  Dative  leis an bhfolcadh don fholcadh  leis na folcthaí,Case,Singular,Plural,Nominative,an folcadh,na folcthaí,Genitive,an fholctha,na bhfolcthaí,Dative,leis an bhfolcadh don fholcadh,leis na folcthaí
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,folcadh,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fholcadh,a fholcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,folctha,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,folcadh,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an folcadh,na folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fholctha,na bhfolcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfolcadh don fholcadh,leis na folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,folcadh,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fholcadh,a fholcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,folctha,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,folcadh,folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an folcadh,na folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fholctha,na bhfolcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfolcadh don fholcadh,leis na folcthaí,,,,,,,,,,,,,,,,,,,,,,,,,,
"dabhach fholctha f, tobán folctha m ‎(“bathtub”)  fallaing folctha f ‎(“bath-robe”)  folcadh béil m ‎(“mouth-wash”)",,folcadh ceatha m ‎(“shower bath”)  folcadh gaile m ‎(“vapour bath”),,folcadh sáile m ‎(“sea bathing”)  seomra folctha m ‎(“bathroom”),,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
folcadh,fholcadh,bhfolcadh,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
