0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  fraoch  Vocative  a fhraoigh  Genitive  fraoigh  Dative  fraoch,Case,Singular,Nominative,fraoch,Vocative,a fhraoigh,Genitive,fraoigh,Dative,fraoch,Forms with the definite article: Case Singular  Nominative  an fraoch  Genitive  an fhraoigh  Dative  leis an bhfraoch don fhraoch,Case,Singular,Nominative,an fraoch,Genitive,an fhraoigh,Dative,leis an bhfraoch don fhraoch
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoigh,,,,,,,,,,,,,,,,,,
Genitive,fraoigh,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fraoch,,,,,,,,,,,,,,,,,,
Genitive,an fhraoigh,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoigh,,,,,,,,,,,,,,,,,,
Genitive,fraoigh,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fraoch,,,,,,,,,,,,,,,,,,
Genitive,an fhraoigh,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
Bare forms (no plural form of this noun) Case Singular  Nominative  fraoch  Vocative  a fhraoch  Genitive  fraoighe  Dative  fraoch,Case,Singular,Nominative,fraoch,Vocative,a fhraoch,Genitive,fraoighe,Dative,fraoch,Forms with the definite article Case Singular  Nominative  an fhraoch  Genitive  na fraoighe  Dative  leis an bhfraoch don fhraoch,Case,Singular,Nominative,an fhraoch,Genitive,na fraoighe,Dative,leis an bhfraoch don fhraoch
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoch,,,,,,,,,,,,,,,,,,
Genitive,fraoighe,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhraoch,,,,,,,,,,,,,,,,,,
Genitive,na fraoighe,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoch,,,,,,,,,,,,,,,,,,
Genitive,fraoighe,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhraoch,,,,,,,,,,,,,,,,,,
Genitive,na fraoighe,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
"cearc fhraoigh f ‎(“(red) grouse”)  coileach fraoigh m ‎(“moor cock, male red grouse”)  dallóg fhraoigh f ‎(“shrew-mouse”)  dúchoileach fraoigh m ‎(“blackcock, male black grouse”)  fraochán1 m ‎(“bilberry, whortleberry”)  fraochán2 m ‎(“ring-ouzel”)  fraoch bán m ‎(“white heather”)",,"fraoch camógach m ‎(“Mediterranean heather”)  fraoch cloigíneach, fraoch fireann, fraoch Lochlannach ‎(“bell-heather”)  fraoch coitianta, fraoch mór ‎(“Scotch heather, ling”)  fraochdhaite ‎(“heather-mixture”)  fraochlach m ‎(“heath”)  fraochmhá f ‎(“heath”) (of tract of land)",,"fraochmhar ‎(“heathery”)  fraoch naoscaí m ‎(“cross-leaved heath”)  leann fraoigh m ‎(“heather-ale”)  luch fhraoigh f ‎(“marmot”)  madar fraoigh m ‎(“heath, white, bedstraw”)  píobaire fraoigh m ‎(“grasshopper”)",,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  fraoch  Vocative  a fhraoich  Genitive  fraoich  Dative  fraoch,Case,Singular,Nominative,fraoch,Vocative,a fhraoich,Genitive,fraoich,Dative,fraoch,Forms with the definite article: Case Singular  Nominative  an fraoch  Genitive  an fhraoich  Dative  leis an bhfraoch don fhraoch,Case,Singular,Nominative,an fraoch,Genitive,an fhraoich,Dative,leis an bhfraoch don fhraoch
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoich,,,,,,,,,,,,,,,,,,
Genitive,fraoich,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fraoch,,,,,,,,,,,,,,,,,,
Genitive,an fhraoich,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fraoch,,,,,,,,,,,,,,,,,,
Vocative,a fhraoich,,,,,,,,,,,,,,,,,,
Genitive,fraoich,,,,,,,,,,,,,,,,,,
Dative,fraoch,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fraoch,,,,,,,,,,,,,,,,,,
Genitive,an fhraoich,,,,,,,,,,,,,,,,,,
Dative,leis an bhfraoch don fhraoch,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
fraoch,fhraoch,bhfraoch,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
