0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  fánaí  fánaithe  Vocative  a fhánaí  a fhánaithe  Genitive  fánaí  fánaithe  Dative  fánaí  fánaithe,Case,Singular,Plural,Nominative,fánaí,fánaithe,Vocative,a fhánaí,a fhánaithe,Genitive,fánaí,fánaithe,Dative,fánaí,fánaithe,Forms with the definite article Case Singular Plural  Nominative  an fánaí  na fánaithe  Genitive  an fhánaí  na bhfánaithe  Dative  leis an bhfánaí don fhánaí  leis na fánaithe,Case,Singular,Plural,Nominative,an fánaí,na fánaithe,Genitive,an fhánaí,na bhfánaithe,Dative,leis an bhfánaí don fhánaí,leis na fánaithe
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhánaí,a fhánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fánaí,na fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhánaí,na bhfánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfánaí don fhánaí,leis na fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhánaí,a fhánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fánaí,fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fánaí,na fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhánaí,na bhfánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfánaí don fhánaí,leis na fánaithe,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  fánaí  Vocative  a fhánaí  Genitive  fánaí  Dative  fánaí,Case,Singular,Nominative,fánaí,Vocative,a fhánaí,Genitive,fánaí,Dative,fánaí,Forms with the definite article Case Singular  Nominative  an fhánaí  Genitive  na fánaí  Dative  leis an bhfánaí don fhánaí,Case,Singular,Nominative,an fhánaí,Genitive,na fánaí,Dative,leis an bhfánaí don fhánaí,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfánaí don fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na fánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfánaí don fhánaí,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
fánaí,fhánaí,bhfánaí,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
