0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  cor  cora  Vocative  a choir  a chora  Genitive  coir  cor  Dative  cor  cora,Case,Singular,Plural,Nominative,cor,cora,Vocative,a choir,a chora,Genitive,coir,cor,Dative,cor,cora,Forms with the definite article: Case Singular Plural  Nominative  an cor  na cora  Genitive  an choir  na gcor  Dative  leis an gcor don chor  leis na cora,Case,Singular,Plural,Nominative,an cor,na cora,Genitive,an choir,na gcor,Dative,leis an gcor don chor,leis na cora
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,cor,cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a choir,a chora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,coir,cor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,cor,cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an cor,na cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an choir,na gcor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an gcor don chor,leis na cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,cor,cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a choir,a chora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,coir,cor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,cor,cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an cor,na cora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an choir,na gcor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an gcor don chor,leis na cora,,,,,,,,,,,,,,,,,,,,,,,,,,
"ar aon chor ‎(“anyway, at any rate”)  ar chor ar bith, in aon chor ‎(“at all”)  ar chor éigin ‎(“somehow”)  ar gach aon chor ‎(“at every turn; in every respect”)  as cor ‎(“out of order”)  cor bealaigh m ‎(“detour”)",,"cor beirte m ‎(“two-hand reel”)  cor ceathrair m ‎(“four-hand reel”)  cor coraíochta m, cor iomrascála m ‎(“wrestling turn”)  cor éisc m ‎(“haul of fish”)  cor i mbia m ‎(“contamination in food”)  cor lín m ‎(“cast of net”)",,"cor na péiste m ‎(“cable-stitch”)  cor na sióg m ‎(“fairy reel”)  cor ochtair m ‎(“eight-hand reel”)  den chor seo ‎(“at this turn of events, this time”)  líon coir m ‎(“casting-net”)",,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  cor  coir  Vocative  a choir  a chora  Genitive  coir  cor  Dative  cor  coir,Case,Singular,Plural,Nominative,cor,coir,Vocative,a choir,a chora,Genitive,coir,cor,Dative,cor,coir,Forms with the definite article: Case Singular Plural  Nominative  an cor  na coir  Genitive  an choir  na gcor  Dative  leis an gcor don chor  leis na coir,Case,Singular,Plural,Nominative,an cor,na coir,Genitive,an choir,na gcor,Dative,leis an gcor don chor,leis na coir
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,cor,coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a choir,a chora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,coir,cor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,cor,coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an cor,na coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an choir,na gcor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an gcor don chor,leis na coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,cor,coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a choir,a chora,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,coir,cor,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,cor,coir,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an cor,na coir,,,,,,,,,,,,,,,,,,,,,,,,,,
