0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  naomh  naoimh  Vocative  a naoimh  a naomha  Genitive  naoimh  naomh  Dative  naomh  naoimh,Case,Singular,Plural,Nominative,naomh,naoimh,Vocative,a naoimh,a naomha,Genitive,naoimh,naomh,Dative,naomh,naoimh,Forms with the definite article: Case Singular Plural  Nominative  an naomh  na naoimh  Genitive  an naoimh  na naomh  Dative  leis an naomh don naomh  leis na naoimh,Case,Singular,Plural,Nominative,an naomh,na naoimh,Genitive,an naoimh,na naomh,Dative,leis an naomh don naomh,leis na naoimh
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,naomh,naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a naoimh,a naomha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,naoimh,naomh,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,naomh,naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an naomh,na naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an naoimh,na naomh,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an naomh don naomh,leis na naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,naomh,naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a naoimh,a naomha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,naoimh,naomh,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,naomh,naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an naomh,na naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an naoimh,na naomh,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an naomh don naomh,leis na naoimh,,,,,,,,,,,,,,,,,,,,,,,,,,
"An Naomhshacraimint f, Naomhshacraimint na haltóra f ‎(“the blessed Sacrament”)  An Naomhspiorad m ‎(“the Holy Spirit”)  An Naomhtheaghlach m ‎(“the Holy Family”)  ban-naomh m ‎(“female saint”)",,"naomhainmnigh ‎(“canonize”, verb)  naomhaithis f ‎(“profanity, blasphemy”)  Naomh m ‎(“Saint”) (title)  naomhluan m ‎(“halo”) (of saint)",,naomhógh f ‎(“holy virgin”)  naomhsheanchaí m ‎(“hagiographer”)  naomhsheanchas m ‎(“hagiography; hagiology”),,,,,,,,,,,,,,,,,,,,,,,,
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,,,,,,,,,,
Nominative,naomh,naomh,naomha,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,naoimh,naomha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,naoimhe,naomha,naomh,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,naomh,naomh;naoimh (archaic),naomha,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative,níos naoimhe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlative,is naoimhe,,,,,,,,,,,,,,,,,,,,,,,,,,,
