0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  glaodh  glaodhanna  Vocative  a ghlaodh  a ghlaodhanna  Genitive  glaodh  glaodhanna  Dative  glaodh  glaodhanna,Case,Singular,Plural,Nominative,glaodh,glaodhanna,Vocative,a ghlaodh,a ghlaodhanna,Genitive,glaodh,glaodhanna,Dative,glaodh,glaodhanna,Forms with the definite article Case Singular Plural  Nominative  an glaodh  na glaodhanna  Genitive  an ghlaodh  na nglaodhanna  Dative  leis an nglaodh don ghlaodh  leis na glaodhanna,Case,Singular,Plural,Nominative,an glaodh,na glaodhanna,Genitive,an ghlaodh,na nglaodhanna,Dative,leis an nglaodh don ghlaodh,leis na glaodhanna
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghlaodh,a ghlaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an glaodh,na glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghlaodh,na nglaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an nglaodh don ghlaodh,leis na glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghlaodh,a ghlaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,glaodh,glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an glaodh,na glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghlaodh,na nglaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an nglaodh don ghlaodh,leis na glaodhanna,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  glaodh  glaoidhte  Vocative  a ghlaoidh  a ghlaoidhte  Genitive  glaoidh  glaoidhte  Dative  glaodh  glaoidhte,Case,Singular,Plural,Nominative,glaodh,glaoidhte,Vocative,a ghlaoidh,a ghlaoidhte,Genitive,glaoidh,glaoidhte,Dative,glaodh,glaoidhte,Forms with the definite article: Case Singular Plural  Nominative  an glaodh  na glaoidhte  Genitive  an ghlaoidh  na nglaoidhte  Dative  leis an nglaodh don ghlaodh  leis na glaoidhte,Case,Singular,Plural,Nominative,an glaodh,na glaoidhte,Genitive,an ghlaoidh,na nglaoidhte,Dative,leis an nglaodh don ghlaodh,leis na glaoidhte
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,glaodh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoidh,a ghlaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,glaoidh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,glaodh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an glaodh,na glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoidh,na nglaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an nglaodh don ghlaodh,leis na glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,glaodh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghlaoidh,a ghlaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,glaoidh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,glaodh,glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an glaodh,na glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghlaoidh,na nglaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an nglaodh don ghlaodh,leis na glaoidhte,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
glaodh,ghlaodh,nglaodh,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
