0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  fiar  fiara  Vocative  a fhiair  a fhiara  Genitive  fiair  fiar  Dative  fiar  fiara,Case,Singular,Plural,Nominative,fiar,fiara,Vocative,a fhiair,a fhiara,Genitive,fiair,fiar,Dative,fiar,fiara,Forms with the definite article: Case Singular Plural  Nominative  an fiar  na fiara  Genitive  an fhiair  na bhfiar  Dative  leis an bhfiar don fhiar  leis na fiara,Case,Singular,Plural,Nominative,an fiar,na fiara,Genitive,an fhiair,na bhfiar,Dative,leis an bhfiar don fhiar,leis na fiara
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fiar,fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhiair,a fhiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fiair,fiar,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fiar,fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fiar,na fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhiair,na bhfiar,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfiar don fhiar,leis na fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fiar,fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhiair,a fhiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fiair,fiar,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fiar,fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fiar,na fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhiair,na bhfiar,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfiar don fhiar,leis na fiara,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,relative,autonomous,,,,,,,,,,,,,,,,,,,,,,,,
first,second,third,first,second,third,,,,,,,,,,,,,,,,,,,,,,,
indicative,present,fiaraim,fiarann tú; fiarair†,"fiarann sé, sí",fiaraimid,fiarann sibh,fiarann siad; fiaraid†,a fhiarann; a fhiaras /a bhfiarann*; a bhfiaras*,fiartar,,,,,,,,,,,,,,,,,,,
past,d'fhiar mé; d'fhiaras /fhiar mé‡; fhiaras‡,d'fhiar tú; d'fhiarais /fhiar tú; fhiarais‡,"d'fhiar sé, sí /fhiar sé, sí‡",d'fhiaramar; d'fhiar muid /fhiaramar; fhiar muid‡,d'fhiar sibh; d'fhiarabhair /fhiar sibh; fhiarabhair‡,d'fhiar siad; d'fhiaradar /fhiar siad; fhiaradar‡,a d'fhiar /ar fhiar*,fiaradh,,,,,,,,,,,,,,,,,,,,
past habitual,d'fhiarainn /fhiarainn‡,d'fhiartá /fhiartá‡,"d'fhiaradh sé, sí /fhiaradh sé, sí‡",d'fhiaraimis; d'fhiaradh muid /fhiaraimis; fhiaradh muid‡,d'fhiaradh sibh /fhiaradh sibh‡,d'fhiaraidís; d'fhiaradh siad /fhiaraidís; fhiaradh siad‡,a d'fhiaradh /ar fhiaradh*,d'fhiartaí /fhiartaí‡,,,,,,,,,,,,,,,,,,,,
future,fiarfaidh mé; fiarfad,fiarfaidh tú; fiarfair†,"fiarfaidh sé, sí",fiarfaimid; fiarfaidh muid,fiarfaidh sibh,fiarfaidh siad; fiarfaid†,a fhiarfaidh; a fhiarfas /a bhfiarfaidh*; a bhfiarfas*,fiarfar,,,,,,,,,,,,,,,,,,,,
conditional,d'fhiarfainn /fhiarfainn‡,d'fhiarfá /fhiarfá‡,"d'fhiarfadh sé, sí /fhiarfadh sé, sí‡",d'fhiarfaimis; d'fhiarfadh muid /fhiarfaimis; fhiarfadh muid‡,d'fhiarfadh sibh /fhiarfadh sibh‡,d'fhiarfaidís; d'fhiarfadh siad /fhiarfaidís; fhiarfadh siad‡,a d'fhiarfadh /ar fhiarfadh*,d'fhiarfaí /fhiarfaí‡,,,,,,,,,,,,,,,,,,,,
subjunctive,present,go bhfiara mé; go bhfiarad†,go bhfiara tú; go bhfiarair†,"go bhfiara sé, sí",go bhfiaraimid; go bhfiara muid,go bhfiara sibh,go bhfiara siad; go bhfiaraid†,—,go bhfiartar,,,,,,,,,,,,,,,,,,,
past,dá bhfiarainn,dá bhfiartá,"dá bhfiaradh sé, sí",dá bhfiaraimis; dá bhfiaradh muid,dá bhfiaradh sibh,dá bhfiaraidís; dá bhfiaradh siad,—,dá bhfiartaí,,,,,,,,,,,,,,,,,,,,
imperative,fiaraim,fiar,"fiaradh sé, sí",fiaraimis,fiaraigí; fiaraidh†,fiaraidís,—,fiartar,,,,,,,,,,,,,,,,,,,,
verbal noun,fiaradh,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,fiartha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
fiar,fhiar,bhfiar,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
